"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
-0.0336114249738681,-0.0336027917098468,-0.0344042073687259,-0.068324015605642,-0.0422693543302808,-0.0457773340441006,-0.0187792274298077,-0.018607322444344,-0.0184191990645255,-0.0367248120969962,-0.0207434502932207,-0.0199595014146737,-0.0128977485279798,-0.0127634831972304,-0.0129839474261273,-0.0255458004385964,-0.0146722768316011,-0.0149310672166752
-0.0336114769231511,-0.0335991933901804,-0.0343137853640742,-0.068324015605642,-0.0422566519379298,-0.0456740525489695,-0.0187792894588152,-0.0186304853581507,-0.0184152544827711,-0.0367248120969962,-0.0207141024696724,-0.0199965500231436,-0.0128977952352711,-0.0127727122231551,-0.0130406783918452,-0.0255458004385964,-0.014639771476521,-0.0148426202588207
-0.0325316052429995,-0.0333772462422207,-0.0335660476160902,-0.068324015605642,-0.0422443735757117,-0.0456542127700857,-0.0187256182363357,-0.0187713288186631,-0.0184254850215108,-0.0367248120969962,-0.0207499705338678,-0.0200391549538147,-0.0126939848056176,-0.0127705725256297,-0.0128044290265833,-0.0255458004385964,-0.0146604026904546,-0.0148990291194319
-0.0328842957879832,-0.0333604164649742,-0.0337790641786606,-0.068324015605642,-0.0421359011318763,-0.045730045315109,-0.018562551062254,-0.0184450809725222,-0.0182971989576614,-0.0367248120969962,-0.0203488194942309,-0.0199847430322976,-0.0127150243213147,-0.0128229948711237,-0.0129150371765459,-0.0255458004385964,-0.0145611574216841,-0.0149186689795428
-0.0328842955302932,-0.033345761104514,-0.0338322832509368,-0.068324015605642,-0.0421287325857762,-0.0457429997066676,-0.0185625508368524,-0.0184543335233754,-0.0183237526234852,-0.0367248120969962,-0.020303453118398,-0.0199859903536993,-0.0127150243485769,-0.0128137434379115,-0.0128746284012198,-0.0255458004385964,-0.0145554576358048,-0.0149126794924919
-0.0330088387919696,-0.0334468884779154,-0.0341391227575241,-0.068324015605642,-0.0421275086057888,-0.0459719622817469,-0.0188521026681949,-0.0185454273494231,-0.0183757713071029,-0.0367248120969962,-0.0202987583580009,-0.0200951919499471,-0.0127560754790506,-0.0127927598807526,-0.0128376477244327,-0.0255458004385964,-0.0145568339276001,-0.0148872328878025
-0.0334469602708774,-0.0338313640466084,-0.0340598999565376,-0.068324015605642,-0.0421920403446797,-0.0457757587878154,-0.0185231749067869,-0.0184299162335638,-0.0184821235431427,-0.0367248120969962,-0.0203186790210738,-0.0200370868295363,-0.0128925129254246,-0.0130339822712521,-0.0129121265620918,-0.0255458004385964,-0.0145792562878616,-0.0149107688532951
-0.0330662649884819,-0.0338190712469324,-0.033767261471446,-0.068324015605642,-0.0421500869225281,-0.0456925193571006,-0.0184374689747531,-0.0184100228509056,-0.0183984468323588,-0.0367248120969962,-0.0203621188279385,-0.0201937102248343,-0.0128389059565726,-0.0128934000734323,-0.012863486961712,-0.0255458004385964,-0.0145545180700451,-0.0147945143079159
-0.0330509844734907,-0.0338190061287144,-0.0336597554656897,-0.068324015605642,-0.0421563332259607,-0.04559808304226,-0.018445257588263,-0.018410053708572,-0.0183934055648557,-0.0367248120969962,-0.0203207671407263,-0.0204608490792851,-0.0128322907743865,-0.0128933862768447,-0.0128396519809607,-0.0255458004385964,-0.0145345969065455,-0.0150488862237218
-0.0335422916137117,-0.0337014477598596,-0.0337092392146725,-0.068324015605642,-0.0421750212996666,-0.0455910416433705,-0.018549580974814,-0.0183065212779795,-0.018459271704753,-0.0367248120969962,-0.0203566880071869,-0.0207420875855797,-0.0130042730476577,-0.0129060995128009,-0.0128595843333648,-0.0255458004385964,-0.0145400206825814,-0.0151822276128408
-0.033149316107256,-0.0332451813913916,-0.0337249143256693,-0.068324015605642,-0.0421948482601307,-0.0455323519420506,-0.0186113998585206,-0.0184325669679417,-0.0185159366726169,-0.0367248120969962,-0.020337262371127,-0.0206532211065062,-0.0128122672568828,-0.012671749243114,-0.0128194376020466,-0.0255458004385964,-0.0145457825546382,-0.0152359209670694
-0.032747876581833,-0.0336601987083575,-0.0339010150342404,-0.068324015605642,-0.0421855190366261,-0.0455942581375747,-0.0187467301225086,-0.0184166557764656,-0.018593380839881,-0.0367248120969962,-0.0203411286668187,-0.0206186628321041,-0.0130923968067033,-0.0130063133554303,-0.0127578306913709,-0.0255458004385964,-0.0145423171819274,-0.015180800452791
-0.0334661882822828,-0.034179543028013,-0.0337741220205624,-0.068324015605642,-0.0422201066588133,-0.0456397523299438,-0.0188153695876532,-0.0187042378510528,-0.0185606501299002,-0.0367248120969962,-0.0198967869219367,-0.0204903730587111,-0.0130484502074248,-0.012854006244719,-0.0127826560239915,-0.0255458004385964,-0.014542705276158,-0.0148324533887894
-0.0337373284709871,-0.033785240819138,-0.0345063010168271,-0.068324015605642,-0.0422061172059533,-0.045682403514084,-0.0188031748474832,-0.0188303270521836,-0.0186148424411814,-0.0367248120969962,-0.0199032393757291,-0.0203835274980702,-0.0129174310560182,-0.0127203816042692,-0.0128413536859772,-0.0255458004385964,-0.0145360122489771,-0.0147939780065702
-0.0336954093689138,-0.0344961060584075,-0.0330800292782238,-0.068324015605642,-0.0422594967992993,-0.045841032851255,-0.0188308305344863,-0.0187886347699949,-0.0187832316710364,-0.0367248120969962,-0.019994503455284,-0.0203513111654667,-0.01280784365312,-0.0127452123922462,-0.0128530920317761,-0.0255458004385964,-0.0145694713608112,-0.0148459823902681
-0.0338903810774373,-0.0345532098613539,-0.0330630181462327,-0.068324015605642,-0.0422673317054958,-0.0457896765534052,-0.0188470323761539,-0.0188219631581464,-0.0188070995289466,-0.0367248120969962,-0.0200074028022416,-0.0201401926881012,-0.0128037660218931,-0.0127488357319053,-0.0128469962296979,-0.0255458004385964,-0.0145646659977241,-0.0148618800050954
-0.0346224240842255,-0.0344920927707443,-0.0332227277166557,-0.068324015605642,-0.042323822093588,-0.0460089946546588,-0.0189663282780722,-0.018992540343594,-0.018894751852623,-0.0367248120969962,-0.0200296493119536,-0.019954545467679,-0.0128381924087605,-0.0127605498958172,-0.0128441854918625,-0.0255458004385964,-0.0145541906541097,-0.0148297082228384
-0.0341938756591392,-0.0347946873375347,-0.033961240773237,-0.068324015605642,-0.0422982196975577,-0.0461398109029081,-0.0189574889859582,-0.0188849786214564,-0.0189399665983126,-0.0367248120969962,-0.0200151309824615,-0.0199126923353339,-0.012785044802994,-0.0127999665228867,-0.0129120739869479,-0.0255458004385964,-0.0145665568814353,-0.0148511510803441
-0.0339225194229114,-0.0345544673160538,-0.0344631379281528,-0.068324015605642,-0.0423069799785295,-0.0461322331060556,-0.019019983708049,-0.0188760032239085,-0.0187666123777574,-0.0367248120969962,-0.020032632623777,-0.0202528661488045,-0.0126414885981766,-0.012876898783403,-0.0128747155176751,-0.0255458004385964,-0.0145625556654558,-0.0149759329514727
-0.0337351406581026,-0.034337321030779,-0.0343359387295547,-0.068324015605642,-0.0423105830540145,-0.0458421292498733,-0.018847214304644,-0.0188256905049696,-0.0187576694445014,-0.0367248120969962,-0.0200357736321519,-0.0203423939178344,-0.0127750764344092,-0.0128791601843135,-0.0128569792448793,-0.0255458004385964,-0.014566803790957,-0.0150380840418633
-0.0322943113173418,-0.0311848330605839,-0.031651132637804,-0.068324015605642,-0.0422621172040854,-0.0457975542265671,-0.0187819486146103,-0.0188566688775428,-0.0186729235539959,-0.0367248120969962,-0.0201003526182978,-0.0200636445157834,-0.0127069015901389,-0.0127331236883094,-0.0127190308770602,-0.0255458004385964,-0.014550920572948,-0.0149879921299216
-0.0317546602302889,-0.0316525680416766,-0.0321216861925326,-0.068324015605642,-0.0422740776804823,-0.0456957878383933,-0.0190261994877724,-0.0188448195698053,-0.0187349315843495,-0.0367248120969962,-0.020046795265732,-0.0199496912106661,-0.0126324981553394,-0.0127679376042371,-0.0127494066743425,-0.0255458004385964,-0.0145579352205424,-0.0149026470472691
-0.0313902020157094,-0.0315053969797034,-0.0321377331487309,-0.068324015605642,-0.042230567182235,-0.0458053933456285,-0.0187630744690013,-0.018855378183003,-0.0186027610969223,-0.0367248120969962,-0.0200115001075495,-0.0199002749791109,-0.0125350040825839,-0.0126781974245463,-0.012796037147184,-0.0255458004385964,-0.0145340987606452,-0.0148786468364328
-0.0311605903385881,-0.0317396860193419,-0.0323937706153082,-0.068324015605642,-0.0422329498237634,-0.0456368269083793,-0.0189180404234239,-0.0187956065584467,-0.0188010066820598,-0.0367248120969962,-0.0200090626870591,-0.0199770846366211,-0.0125197833409297,-0.0126185230277511,-0.0125832510860501,-0.0255458004385964,-0.0145367189829821,-0.0149681152091035
-0.0311213478871433,-0.0316325709555766,-0.0323692481410626,-0.068324015605642,-0.0422991067505969,-0.0452890636928277,-0.0189312031828953,-0.0189807730417739,-0.0189426878511679,-0.0367248120969962,-0.0200148078833462,-0.0199146229112531,-0.0125509546861012,-0.0124882502754531,-0.0126349695403633,-0.0255458004385964,-0.0145000983733061,-0.0148557506033111
-0.0315725618492658,-0.0322634246100853,-0.0328932021615172,-0.068324015605642,-0.0422997090603613,-0.0453677209210595,-0.0189134450043667,-0.0191044491283976,-0.0191182971502652,-0.0367248120969962,-0.0200208129516307,-0.0198907613786916,-0.0126427844063708,-0.0125865820400353,-0.012638669793711,-0.0255458004385964,-0.0144951690624594,-0.0149339113678816
-0.0315725802324436,-0.0323058174607564,-0.032836120665853,-0.068324015605642,-0.0423093721545037,-0.0454906026373141,-0.0189134548168877,-0.0190513745385101,-0.019004306010986,-0.0367248120969962,-0.0200211999465561,-0.0200856620011051,-0.0126427942914383,-0.0126200557502633,-0.01253903015956,-0.0255458004385964,-0.0144933436123681,-0.0149430537412403
-0.0315092970248524,-0.0320109859285099,-0.0323673884019473,-0.068324015605642,-0.0423285316487039,-0.045650207214993,-0.0187585204046351,-0.0188982758454223,-0.0190929601495025,-0.0367248120969962,-0.0200313395675239,-0.0200577804006271,-0.0124294369492036,-0.0126952572466513,-0.0126693094769985,-0.0255458004385964,-0.0144815536498436,-0.0149681714185471
-0.0315174809542604,-0.0320694952534233,-0.0323280477615952,-0.068324015605642,-0.0423284741270912,-0.0456088018857214,-0.0188097797328077,-0.0191277968929729,-0.0190290408745136,-0.0367248120969962,-0.020020862503724,-0.0200263736966307,-0.0124737124419978,-0.0126009671937244,-0.012617315802382,-0.0255458004385964,-0.0144788591253961,-0.0149728625555811
-0.0315174818069423,-0.0320668947665286,-0.0323443685547803,-0.068324015605642,-0.0423538998452756,-0.0455109146856566,-0.0188097776631256,-0.0191400403565925,-0.0190279874262829,-0.0367248120969962,-0.0199834654142095,-0.0199978509067032,-0.0124737110922991,-0.0126026707455781,-0.012628712199595,-0.0255458004385964,-0.0144630058021793,-0.0148515700804756
-0.0317820158827414,-0.0323761989721067,-0.032423401655048,-0.068324015605642,-0.0423558580140702,-0.0455070048837923,-0.0189288985143844,-0.0189262068444531,-0.0190166822416299,-0.0367248120969962,-0.0200026629933905,-0.0199850619235385,-0.0124846129342443,-0.0125374877397175,-0.0126985298254225,-0.0255458004385964,-0.0144824230136395,-0.0148344936632757
-0.0317822134006475,-0.0323349415618321,-0.0324290363398116,-0.068324015605642,-0.0423592184381719,-0.04541351323363,-0.0189289924891184,-0.0188495485995987,-0.0190003972048139,-0.0367248120969962,-0.020025981711001,-0.020026561333585,-0.0124845057083812,-0.0125986479080451,-0.0125841232750166,-0.0255458004385964,-0.0144955984193263,-0.0148623451484307
-0.0317820128384411,-0.0323750999699886,-0.0324112155498009,-0.068324015605642,-0.0423816623602941,-0.0452728203292446,-0.0189288971661394,-0.0189670617217817,-0.0190395939916104,-0.0367248120969962,-0.0200966935538118,-0.0202549168011915,-0.0124846152905559,-0.0125117029432013,-0.0126199686168354,-0.0255458004385964,-0.0144429182998848,-0.0148409119504095
-0.0317821825346623,-0.0324200623028537,-0.0324724382721459,-0.068324015605642,-0.0423923106035958,-0.0451835812971552,-0.0189289747560132,-0.0189810533690066,-0.0190145911684407,-0.0367248120969962,-0.020081475254278,-0.0202897130896911,-0.012484553288245,-0.0124729548920352,-0.0125621180137413,-0.0255458004385964,-0.0144355872700522,-0.0148302016701228
-0.0318383977239871,-0.032158150458366,-0.0324132744510173,-0.068324015605642,-0.0423962959895778,-0.0451024576001982,-0.0187335858278926,-0.018580795117951,-0.0188497973941961,-0.0367248120969962,-0.0200707141066581,-0.0203625830780722,-0.0127487761690041,-0.0124745386438117,-0.0125559116727581,-0.0255458004385964,-0.0144313519194126,-0.0149496255444585
-0.0316638453557039,-0.0318899772032367,-0.0326765534327142,-0.068324015605642,-0.0423866253316429,-0.0450978437399808,-0.0187847300156268,-0.0188693375440991,-0.0190388719650249,-0.0367248120969962,-0.020066368566983,-0.0202568661422653,-0.012562121629694,-0.0126457223242969,-0.012664946947877,-0.0255458004385964,-0.0144277163072642,-0.0148890782323493
-0.0315820657731687,-0.0320151606964128,-0.0322750074113442,-0.068324015605642,-0.0423893067522085,-0.0450100617680676,-0.018896878126544,-0.0188315449902122,-0.0188625518385972,-0.0367248120969962,-0.0200704686904613,-0.0202991690098756,-0.0124670799177964,-0.0124471432912693,-0.012514705883361,-0.0255458004385964,-0.0144367160515437,-0.0150059288780499
-0.0312810712157653,-0.0317984700949965,-0.0321676771727675,-0.068324015605642,-0.0423808555649704,-0.0449270219559633,-0.0187558821724766,-0.0189175102337347,-0.0187368283103516,-0.0367248120969962,-0.0200691223691059,-0.0203136936019692,-0.0124680618308808,-0.0125067761031453,-0.0126491639522647,-0.0255458004385964,-0.014442686566407,-0.0148958276102228
-0.0319344556489275,-0.0320169555634604,-0.0325666662800485,-0.068324015605642,-0.0423844463529841,-0.0450795475132324,-0.0190743631165768,-0.0189927296027996,-0.0188408451669596,-0.0367248120969962,-0.0200126844493703,-0.0201764677889161,-0.0124322671062368,-0.0124386530139979,-0.0123491742208227,-0.0255458004385964,-0.0144264494239066,-0.0148788085441846
-0.0317518568184565,-0.0318057080867181,-0.033426848753799,-0.068324015605642,-0.0423817017477852,-0.0449629187249724,-0.0186928934553225,-0.0189257612547733,-0.0189816125826552,-0.0367248120969962,-0.0200154897496273,-0.0200518030001963,-0.0121781783090135,-0.0124029180938588,-0.0124783266283036,-0.0255458004385964,-0.0144240716192661,-0.0148149960062808
-0.0317531382883321,-0.0317820956840659,-0.033102407023902,-0.068324015605642,-0.0423756729912352,-0.0447213393876824,-0.0186899945209676,-0.0189288871545737,-0.0189472755925591,-0.0367248120969962,-0.0199998282245571,-0.0201238936494197,-0.012170695789014,-0.012389048505332,-0.0124796270350275,-0.0255458004385964,-0.0144352768856561,-0.0147908627062579
-0.0317518578453686,-0.0318004605132363,-0.0331194408289855,-0.068324015605642,-0.0423690914130894,-0.0447693826596908,-0.0186928916270512,-0.0189232587363942,-0.0189448537126378,-0.0367248120969962,-0.019997872425684,-0.020161740419086,-0.0121781781095062,-0.0124033193246565,-0.0124508472954827,-0.0255458004385964,-0.0144331215616509,-0.0147553366123879
-0.0316616039499612,-0.0323828516020507,-0.0331334541886542,-0.068324015605642,-0.042365135771809,-0.0447639417190154,-0.0189112686167443,-0.018907914511667,-0.0188757661155481,-0.0367248120969962,-0.0199899298891787,-0.0202285442583087,-0.0123832743095871,-0.0124710626665679,-0.0125081084578803,-0.0255458004385964,-0.0144378708784029,-0.0146929440837782
-0.0317961254486054,-0.0322313352984517,-0.0344378888311754,-0.068324015605642,-0.0423817308903841,-0.0448495227327257,-0.0189648621709411,-0.018831641345105,-0.0188722589094579,-0.0367248120969962,-0.020008574197435,-0.0200965838696242,-0.0125884608578946,-0.0124787735048931,-0.0125293593468356,-0.0255458004385964,-0.0144409263403088,-0.0147738439552216
-0.0317761071499208,-0.0322881522799552,-0.0346343291486933,-0.068324015605642,-0.0423776884462484,-0.0448723802374356,-0.0189733712350052,-0.0188741017182846,-0.0188453713898775,-0.0367248120969962,-0.0200042686953312,-0.019992036735696,-0.0125497453492895,-0.012464889161682,-0.0125216300721934,-0.0255458004385964,-0.0144384882275673,-0.0146977081967969
-0.0317185567562843,-0.032110577629351,-0.0331823427146728,-0.068324015605642,-0.042381071361441,-0.0450060998393796,-0.0190106047689629,-0.0190100923957703,-0.0190083483136064,-0.0367248120969962,-0.0200072171198751,-0.0198745448504477,-0.0122592180100157,-0.0122107997763245,-0.0124008689870956,-0.0255458004385964,-0.0144250360437778,-0.0147588915344275
-0.0317185802861719,-0.0321087573297823,-0.0331585781297258,-0.068324015605642,-0.0423968545469976,-0.0451220527283062,-0.0190106060979876,-0.0190152981729451,-0.0190628722755679,-0.0367248120969962,-0.0200342937968912,-0.0200867030163607,-0.0122592549213121,-0.0121980768122952,-0.0124041087836675,-0.0255458004385964,-0.0144102212264441,-0.0147187804236939
-0.0319913722614075,-0.0325170825400265,-0.0336163359405785,-0.068324015605642,-0.0424169900976508,-0.0454282229537987,-0.0188918117564939,-0.0189651225209405,-0.0189567577343031,-0.0367248120969962,-0.0201058956933981,-0.0201198502527468,-0.0122323628329476,-0.0121213485503963,-0.01250470739319,-0.0255458004385964,-0.0144279006512431,-0.0148035211775356
-0.0317963583515461,-0.0326003367969328,-0.0335658463104667,-0.068324015605642,-0.0424348436899716,-0.0453208329385691,-0.018762400520187,-0.0188963901780384,-0.0188483988657935,-0.0367248120969962,-0.0201310691092066,-0.0201758599678359,-0.0122314687676567,-0.0122129874937724,-0.0123647918474387,-0.0255458004385964,-0.0144277738161247,-0.014761564477048
-0.0317963578808448,-0.0325836865091499,-0.0334755423809272,-0.068324015605642,-0.0424170080536164,-0.0452365925803348,-0.0187624005709234,-0.0188556034987114,-0.0187676671013593,-0.0367248120969962,-0.0200769643870979,-0.0202951416569508,-0.012231468376338,-0.0121894037160024,-0.012332521349024,-0.0255458004385964,-0.0144212773611627,-0.0147125953298427
-0.0317961924640029,-0.032515066208024,-0.0339537559433059,-0.068324015605642,-0.0424177864747585,-0.0451927621059826,-0.0187624055108561,-0.0189187567094359,-0.0188017139625029,-0.0367248120969962,-0.0200554315221488,-0.0202682091580456,-0.0122313240731008,-0.0121693837947023,-0.0123896371379051,-0.0255458004385964,-0.0143996685515556,-0.014714753187363
-0.0322714549689501,-0.0327079775069768,-0.0330993655564968,-0.068324015605642,-0.0424171909588402,-0.0453012477118327,-0.0184776715014705,-0.0186221553143281,-0.01873809256849,-0.0367248120969962,-0.0200524348839711,-0.0202130405829225,-0.0123789899959951,-0.0122921695637098,-0.0125640873133121,-0.0255458004385964,-0.0143969273618366,-0.0147428955257875
-0.0322535157739334,-0.032811134267727,-0.0329603915944697,-0.068324015605642,-0.0424003801020368,-0.0453231345261738,-0.0184516321082732,-0.0183094108587007,-0.0186847913770848,-0.0367248120969962,-0.0200734039227765,-0.0200825142695146,-0.012420817526677,-0.0124271651388223,-0.0126379583111559,-0.0255458004385964,-0.014396927402555,-0.0147705857629743
-0.0321731757622372,-0.03302071510407,-0.0331305258251255,-0.068324015605642,-0.042398084612209,-0.0452479083861326,-0.0186795043031345,-0.0186497670766403,-0.0186230891368854,-0.0367248120969962,-0.0200980819568572,-0.0200631314910547,-0.0124318027759444,-0.0125167637857641,-0.0124949214587174,-0.0255458004385964,-0.0143877243519439,-0.0147117230885945
-0.032173162363127,-0.033020712511208,-0.0330898134329155,-0.068324015605642,-0.0424139266551063,-0.0453797774539092,-0.0186795480666691,-0.0186497699727243,-0.0186018372458696,-0.0367248120969962,-0.0200417174666796,-0.0201339446438078,-0.0124318309231169,-0.0125167679636801,-0.0125220736501659,-0.0255458004385964,-0.0144228719883822,-0.0147658074688552
-0.0321731935911968,-0.0330207119496979,-0.033108156913063,-0.068324015605642,-0.0423714524155422,-0.0453841119296844,-0.0186795821808364,-0.0186497645473936,-0.018587593743568,-0.0367248120969962,-0.0201236047258675,-0.020159393066788,-0.0124318365154662,-0.0125167683533368,-0.0125223428354967,-0.0255458004385964,-0.0144287039760575,-0.0147660275781713
-0.0321687647405562,-0.0330120140166387,-0.0331071530381619,-0.068324015605642,-0.0423679712073033,-0.0453161897800967,-0.0186911257139779,-0.0186064513701582,-0.0185872968413549,-0.0367248120969962,-0.0201259081459363,-0.0203026598382685,-0.0124392521419099,-0.0125249311102125,-0.0125227802619708,-0.0255458004385964,-0.0144284570884138,-0.0147085147140207
-0.0324691581727155,-0.033121433571307,-0.0330915346279871,-0.068324015605642,-0.0423601730043914,-0.0452690594201572,-0.0184780568236105,-0.0187316475441897,-0.0184052096441623,-0.0367248120969962,-0.0201135175255005,-0.0203108167901401,-0.0124983771837942,-0.0125206497211358,-0.0124642658047351,-0.0255458004385964,-0.0144252126482115,-0.0147261002008017
