"V1","V2"
-0.0147167475111508,-0.00944410878781576
-0.0244693310568806,-0.0449192807627212
-0.0134279912256676,-0.0121529646504887
-0.00367164484153987,-0.00513326166181922
0.00395937643216243,0.00246166701860132
-0.00625122192237734,-0.00423869147138031
-0.0105780232015468,-0.0137131029970501
-0.00158370013832248,0.00150685898085244
-0.00592129577082194,-0.00156372568321727
-0.00204593410565452,0.00313710257431645
0.0125675627702452,0.00421373447357592
-0.0173928784415946,-0.0170845286761088
-0.0209089051185347,-0.0136251198274364
-0.00525614449689758,-0.00308262629509122
-0.0192923053515816,-0.0165357255187173
-0.019257014079355,-0.0169095080358124
-0.0113468956733355,-0.00849422163958436
-0.021779586519105,-0.0211741224229578
-0.0154670713833221,-0.0090450979031868
-0.00945731453971704,-0.00720748595920323
-0.0112496729071068,-0.00895332175361406
-0.00622487275946146,-0.00696006076906985
-0.0178612020162522,-0.00850883386534512
-0.00902604385052158,-0.0064432848519133
-0.0152793238764388,-0.00665092437420235
-0.0184693482527529,-0.0116436101557512
-0.00528200260572855,-0.00100389741693161
-0.00453392622136099,-2.47736393366422e-05
-0.0150009370198497,-0.00974621409195021
-0.00621514911931264,-0.0026436161678564
-0.0189793695238182,-0.015646908656968
-0.0153140286203558,-0.012716791325667
-0.00970061891708809,-0.00883411333018627
-0.00567937453606169,-0.00576686434567581
-0.0105414135731364,-0.000388983746085932
0.00668477757659919,0.00129547675245018
-0.00933472285679746,-0.00535000576546805
-0.0107137255204742,-0.00932860785332949
-0.00602298519974146,-0.00337369592070432
-0.00468338155833311,-0.00453523192159869
-0.0143690446584852,-0.0118920895860773
-0.00924642277206218,-0.00970049155779157
0.00109545661456589,-0.00049778115438041
-0.00714663171403027,0.000721769899036191
-0.0099012637721895,-0.00268254083830752
-0.00581306396458999,-0.005695973591577
-0.00457903219207093,-0.0015851850459792
-0.00542980894739158,-0.00657202529427919
-0.0120743553476362,-0.0103854496081089
0.00211866704460531,-0.00123413943635163
-0.00528529810690698,-0.00300163052555006
0.00200074814738116,-0.00890810682933373
-0.00408845488517055,-0.0059211744862807
-0.00452562389586657,-0.00431411852416421
-0.00375906994602007,-0.00422807462812725
0.0060503912376954,0.0079344631454029
-0.00531328537738549,-0.00283136814568326
-0.00257728328031721,0.00364225093570746
-0.0109711813139549,-0.00687823961195022
-0.0118149506468563,-0.00840441808129847
-0.0194784853463661,-0.0178343047564646
-0.0274870266722615,-0.0105899072547327
-0.0246370880179459,-0.0128437657783825
-0.00258368609758643,0.0164159313983027
0.00018852897495663,-0.00405517601079309
-0.0051767430789353,-0.00374878101306571
-0.0210315659162393,-0.0125806368834976
0.00596697340320496,0.00463474142581982
-7.88455812693732e-05,-0.00332922279078214
-0.025207360248337,-0.0180768608955513
-0.0364530141339971,-0.00670946883184063
-0.0157069409701262,-0.00535896099931807
-0.00925470508069306,-0.00347501926169156
0.00335056560978553,0.000685315526037747
-0.00493189052606088,-0.00072970381302245
-0.00781662546295142,-0.00241861639906311
-0.015285651722249,-0.0112082128619014
0.151529760262468,-0.0118000551511419
-0.00436334817934152,0.00521296192734517
-0.00837748334462055,-0.00718949985807871
-0.0164141920244615,-0.00768674299517175
-0.000890726956951106,0.00420960244222658
0.0110943370273458,0.0377996475601832
-0.00324302334946178,0.00771307929105023
-0.00025515109275683,0.000753677674079953
-0.0225358804039532,-0.0107676764146322
0.000477989719579911,0.00715862188010652
-0.0280848728844924,-0.0366596255772385
-0.000416830407947066,0.000972777497158868
0.00489468384219533,0.00650386382246251
0.00358953565636225,0.0128169917152587
-0.0272614403358158,-0.00883861877676146
-0.0178167085556603,-0.00842981023573608
-0.000832302810415632,-0.00190076993081832
-0.0127907495080746,-0.0119842509578767
-0.00835797146969364,-0.00274571301868814
-0.00958460684053734,-0.00677730807538268
-0.00256030129697886,0.00902806027669231
-0.0105157371197455,-0.00957818408611987
-0.0210674353244816,-0.0210765789318571
-0.0149695677983409,-0.00190590965725981
-0.00959010305480257,-0.00625444735694616
-0.0282737917176838,-0.019770046319107
0.00210485390592292,0.0368026678214078
-0.0151651735685429,-0.0122715213122672
-0.0122875303304886,-0.00615506474310651
-0.014335914473972,-0.0117195221630734
-0.00351616392396604,-0.000700380636779505
-0.00470287636166076,-0.00390812254643381
-0.00176063200731799,0.00164619084043149
-0.0151068364868981,-0.0117022697041788
-0.00536762694245432,-0.00396377518889992
-0.0103709150855828,-0.00586585223896087
0.00652248438888941,-0.00275776307199559
-0.01538932865418,-0.0136614260584866
-0.0207002338981924,-0.0199041805605616
-0.0166867769955965,-0.00899185894890443
-0.00586310138109157,0.00308991843648388
-0.0628866349354728,-0.0217562409091278
-0.00977673708800014,-0.00983711414305808
0.00653479703407565,0.00282335264632624
0.00094639426183111,0.00396549654551012
-0.00773629012492389,-0.000872983309427615
-0.010954204313473,-0.00759180798798026
0.00756868434292188,0.00684343101725117
0.00063477533286962,0.0026047689452819
-0.0145232119537195,-0.0132497820145937
-0.0134673908675855,-0.00566306373460586
-0.0438170990691995,-0.0116760051669845
-0.0122635390123807,-0.01199308737083
-0.000728056309977066,0.00175113402531293
-0.00579008391325875,0.00758736106564731
-0.0254611732661896,-0.0180518739731919
-0.0208591621608936,-0.0151791875949119
-0.0122145374407109,-0.0116284562319058
-0.00911929997023538,-0.00702576469949155
-0.00520942046436133,0.00207943622049083
-0.00531689244737397,0.00435503352193895
-0.0288369808982478,-0.0107814665595232
-0.0260179296969528,-0.0252524058187142
-0.0415211436053103,-0.0234474774924193
-0.0296138612017818,-0.0167202924664086
-0.0041762771046303,-0.00494600824663233
-0.014747433983493,-0.00596186963555197
0.00534205242961736,0.00744012444705863
-0.033063999667655,-0.0166835353884388
-0.00746520592082146,-0.00229043964157477
-0.037470106822376,-0.0205041578593602
-0.0171526793907515,-0.00634172123857744
-0.00585042831754441,-0.00418235181081324
-0.0262076149219493,-0.0205465492232136
-0.0127117292763234,-0.00736253061652602
-0.0254730006695959,-0.0211387978788069
-0.0229522969397108,-0.0189229658992266
-0.0112188977875193,-0.00727720132569043
-0.0346331211411606,-0.0260279753031334
-0.00788529793279617,-0.00263088625100017
-0.00774937699516798,-0.00505356796451264
-0.00267635721574888,0.00642264568449464
-0.0426400369704346,-0.0253377739023514
-0.0116539184123695,-0.0104376800978243
-0.00311150615033836,0.00604877545978165
-0.0235587050613995,-0.0125726679415704
-0.0171910964789411,-0.00965300811195867
-0.0199510468468312,-0.0249327851823077
-0.0169541033348439,-0.0144117924447609
-0.00723767670641233,-0.00577155154478656
-0.0265563852724954,-0.0164287053593597
-0.0185472654032385,-0.00733483441823528
-0.00290979791718981,-0.00618809167779116
-0.0255557786471653,-0.0171305935054701
-0.0315062014222137,-0.0226412871919773
-0.0163745461904227,-0.0158127424795231
-0.00731803226895627,-0.00236536645134251
-0.0147232305471974,-0.0123723895731474
-0.0110028818811796,-0.0147394531411877
-0.00189810603743814,-0.00237244698443218
-0.0331037834850444,-0.0277078217407723
-0.0105527254299856,-0.00295822571119362
-0.0190405921963682,-0.0174994371289223
-0.0533051722163688,-0.0149690291201847
-0.0153208394347989,-0.0142563849037723
-0.0156787541001854,-0.00615804567525052
0,0
-0.0233083963691318,-0.0165527597189417
-0.0146555119699965,-0.0124344929202592
-0.0172302623452935,-0.0157061545691655
-0.0157764796766077,-0.00738029462492483
0,0
-0.0209149146045469,-0.00774539959136047
0.00420778159602056,0.00526060951651946
-0.0289870880407242,-0.0104777692046965
-0.0109569150226303,-0.0103194639585677
-0.00740394636344386,0.00276987691961437
-0.0106438239678475,-0.016044378623511
-0.0142224608005087,-0.00939159483671361
-0.0214214228433161,-0.0098173717039196
-0.0490767192475986,-0.0189423249422063
-0.0114978484218684,-0.00815665165751349
-0.0098684011980998,0.000563783314424767
0.00519582118108079,0.013964131070054
-0.0107171173374513,-0.0133451075920433
-0.00932818126548954,0.00147486878931757
-0.00156852638115085,-0.00738664164765658
0.00551343354026105,0.00740703862343079
-0.0336520556169723,-0.0160750296477722
-0.0204250023583081,-0.016957859080992
-0.0103161107521124,0.00415436674128148
-0.0336542265426049,-0.0193305673542613
-0.0235445635780004,-0.0172899661531325
-0.0222004309443145,-0.0103908123044805
0.0109278587596796,0.00702232357461883
-0.00487013342467367,-0.00835983858173406
-0.020393165063999,-0.0140545259340863
-0.000911891814996302,0.0110943117459313
-0.0322667411944787,-0.016202088830889
-0.0247627545164487,-0.0175495887688668
-0.0118956926777795,-0.0103350763416297
0.00182958575217435,0.0155943607643623
-0.0268969200090634,-0.00497931334642782
-0.0433992589343206,-0.0262146531030831
-0.0277783932950953,-0.0207463408541724
-0.0216560904397068,0.000513353645470535
-0.0135486159399438,-0.0029447618425842
-0.0206105296182338,-0.00846060019875745
0.00843372826572098,-0.00373495273406979
-0.0138144270233887,0.0127478785164456
-0.00841542499404391,-0.0117252315271634
-0.00900024478373387,-0.00557133225065396
-0.0232694874217544,-0.00977798332553534
-0.0263200412492188,-0.0224255074070748
0.000324220251847858,0.006924062730549
-0.0159912689611888,-0.0140359382727284
-0.0146614464071287,-0.00465087618107962
-0.00494604709658865,0.00733079708896587
-0.0138704017116009,-0.0138314166534532
-0.0239492697973621,-0.0219049044513371
-0.0141134349615111,-0.00998801934574687
-0.0204126227745313,-0.020857281943
-0.0131155023135875,-0.0114057758591925
-0.0191935215410643,-0.0108270249021443
-0.0118552712722696,-0.0015080307592729
-0.00946374814911382,-0.00183363834738673
-0.0232643771395462,-0.0268954410117054
-0.018818426574606,-0.0156541178003794
-0.0429473834363587,-0.0291369737833246
-0.0341359486652776,-0.0228857449633601
-0.0288512680542192,-0.0160457046685837
-0.00774914826808086,-0.00374879335711499
-0.034495273510198,-0.0385685574479316
-0.0313729328364446,-0.0217300387161898
-0.00989599766947735,-0.00581680682197924
0.00859119824569106,-0.00132856400346598
