"V1","V2"
-0.0190937690011653,-0.0134360218848427
-0.0363946897608247,-0.0742047372751747
-0.0212391564947692,-0.0173513660863232
-0.0120903121351678,-0.0120280365896296
-0.00240680072789108,-0.00327930337324323
-0.0118741605048988,-0.00869785213195746
-0.0152521675322655,-0.0199941611945628
-0.00728684320107428,-0.00331026576915571
-0.0138974402712123,-0.00955521232727133
-0.00937719954060706,-0.00462476045109836
0.00674128135275174,-0.000493186727492928
-0.0241500493512334,-0.0240638380018172
-0.0327475667273693,-0.0192251727665364
-0.0120710420423158,-0.00854618520065
-0.0269268492210851,-0.0231122502988632
-0.0280642445665933,-0.029441159570166
-0.0190097005559205,-0.0148889091982858
-0.0308988711651107,-0.0373592687810337
-0.024062678884479,-0.0142451841966249
-0.0146450131724449,-0.0137395442775197
-0.0169292773648599,-0.0134537137593481
-0.0112428776047212,-0.0119489066370419
-0.0278645242763004,-0.0186779498568885
-0.0141050242674597,-0.0127848410506195
-0.0220231661588239,-0.0119587301983174
-0.0243115458541859,-0.0167500500812241
-0.0108601531079583,-0.00566947088663854
-0.00926249807960663,-0.00636133637217569
-0.0228576169357863,-0.016884449996178
-0.0152036675548046,-0.00742692813876757
-0.0344591637041201,-0.0265787736134001
-0.0229694284128357,-0.0191748475471431
-0.0166612235000346,-0.0143941293470651
-0.015964265288717,-0.0116468992992229
-0.0157426022561789,-0.00526003629015165
-0.000108916674155383,-0.00370480019952144
-0.0146398300416391,-0.0101379034883609
-0.0172792576141138,-0.0145993998964541
-0.0117985563028874,-0.00779959265006891
-0.0107668509078334,-0.00898806302332914
-0.0209429348185163,-0.0174374368661594
-0.0144690565828316,-0.0128760956063712
-0.00478071846823665,-0.00541333037694783
-0.01348313052611,-0.00425942898814898
-0.0142811324449753,-0.00619725600696601
-0.0106894692644659,-0.0105454398999374
-0.0113187468912526,-0.00792043059955829
-0.0112010223146338,-0.0119380613589981
-0.0184159491608331,-0.0150124770668318
-0.00160406346552538,-0.00436758757876994
-0.0123458927028542,-0.00883019289661486
-0.00364451060701021,-0.0119691319055622
-0.0118371872266397,-0.013194655785537
-0.00907207482215846,-0.0081440489220459
-0.0095943948889402,-0.00916851718871151
-0.000569607448144319,0.00313180071649587
-0.0116396884077989,-0.0103431974568205
-0.00761405753268705,-0.00229565963674705
-0.0190447672934635,-0.015628613018656
-0.0181957970313703,-0.0165303635636454
-0.0254779576121894,-0.0251392191070923
-0.0402515472566827,-0.0168663891559835
-0.035871930221855,-0.019268888519931
-0.00633597969840893,0.0119077304259022
-0.0062705889980257,-0.00864210551366044
-0.0122624703128512,-0.0123273375663099
-0.031683841102588,-0.0212100034020194
0.000877146677739062,-0.000279514551314835
-0.00492022498150895,-0.00697692798468301
-0.0406337019330768,-0.0327403171939185
-0.0464747445716657,-0.0127371200699068
-0.0233313117334996,-0.0114223126282965
