"V1","V2","V3","V4"
-0.0136824772286005,-0.0116516092416974,-0.0247714013246327,-0.014120263920756
-0.0444146715002815,-0.0100766692050097,-0.0232487368999732,-0.00815458545909572
-0.0174706456732789,-0.00494726698287762,-0.0240022247925271,-0.00487229481706482
-0.0140583982013665,-0.00737136614954035,-0.0229453694321669,-0.00716075658278034
0.00021353212059364,-0.00268268615958985,-0.0208032085622264,-0.00235108268514729
-0.00766896300963033,-0.0102743323709563,-0.0226131497023771,-0.00941770263097467
-0.0141896285486296,-0.00494038336167858,-0.0289106067274327,-0.0119684164814422
-0.00165520195038931,-0.00639313816916457,-0.0231363138783501,-0.0102380259092626
-0.0101116115237121,-0.00386737395428304,-0.0232682686046533,-0.00560123568509412
-0.0101271099031117,-0.0082688669568454,-0.0213320396892546,-0.00769521726319014
0.00731630673393879,-0.00730938420763626,-0.02298022730036,-0.00888661712369921
-0.0213836587693904,-0.00584608098457204,-0.0242456868835483,-0.00649464303680023
-0.0339250055412992,-0.00554446653663136,-0.0262665180538834,-0.00835097809835677
-0.00944843410204239,-0.00403119753146083,-0.0246812551552988,-0.00492002629385263
-0.0257170080063181,-0.00640477799920795,-0.0253225139092558,-0.00910058050956307
-0.0400926484671753,-0.00353873063570262,-0.0237672060496706,-0.00479292825648947
-0.0170238085655811,-0.00422670775098487,-0.0264829294618785,-0.00766887691729683
-0.0244619982308762,-0.0029028295296575,-0.0240770038406754,-0.00609785963502473
-0.0138335334702668,-0.00239987465733033,-0.0212084800679553,-0.00327063695396916
-0.0143725326352849,-0.00186513793434689,-0.0245296448338319,-0.0067286814236545
-0.0160303461437037,-0.012357187190775,-0.0250321918413852,-0.0119137634693214
-0.0123466080081411,-0.015084768107945,-0.0221222781951782,-0.0112165559671707
-0.0219095127760249,-0.00577770395753801,-0.0216583973820403,-0.00526023443322529
-0.0129404985978595,-0.0045716603356001,-0.0222229120050039,-0.0086062956863393
-0.00979753112865231,-0.00993835908353459,-0.0241594066152247,-0.00964504722236424
-0.0215008989640868,-0.00148201601899128,-0.022870300164535,-0.00393848671771753
-0.00946158362248717,-0.0113757590147468,-0.02467433577421,-0.0107207995641328
-0.00947100967228454,-0.0062590498964017,-0.024038483979102,-0.00694806914953566
-0.0195407275107354,-0.0123110832659476,-0.0237942054744459,-0.0105390567038089
-0.0125613002135059,-0.00865137979932693,-0.0262433991303812,-0.0119616100825462
-0.0321581125678038,-0.00360608667072066,-0.0253533040872714,-0.00444635099494626
-0.0200344041647843,-0.0050995859981535,-0.0268781524983675,-0.00866350678712102
-0.0193923672120647,-0.00526711293438706,-0.0240700430391435,-0.00597358328961339
-0.0134090725881749,-0.00625595302086264,-0.0244335356987931,-0.00635865773882491
-0.0143394900468457,-0.00464155895508104,-0.023126175628453,-0.00588729278758893
-0.00413022169560274,-0.00874339694274188,-0.0223873281751442,-0.00788021217170211
-0.0154842258187437,-0.00445202330839121,-0.0238492457343094,-0.00572323036191727
-0.0155983280007793,-0.00334148799802548,-0.0220308145973673,-0.00460167701398086
-0.0129984562005597,-0.0067093454088282,-0.0247658585069255,-0.00875077931476597
-0.00910675073782911,-0.00431956560091833,-0.0226783980448345,-0.00751046401812837
-0.0178193282020242,-0.00574940388946574,-0.02356343755233,-0.00568260897607769
-0.0114648952135232,-0.00652962679563997,-0.0254381261088738,-0.0118774175214638
