"V1","V2","V3","V4"
-0.00984452385218209,-0.0094660029435287,-0.0203953358955784,-0.0119516429384397
-0.0289385258437608,-0.00798860344086697,-0.0195431217900677,-0.00618446438297256
-0.0119520357800146,-0.00357579945810927,-0.019453644040511,-0.0034845698308005
-0.00863602102656059,-0.00508390735621524,-0.0187010351333938,-0.00482310274644616
0.0058868816579468,-0.00190247461117697,-0.0161204920422323,-0.00151748889761977
-0.00284131147004804,-0.00782865591798799,-0.0184583544590281,-0.00703914217226128
-0.00956555388901112,-0.0035975291189897,-0.025085820640093,-0.0106615891875384
0.0033667880708278,-0.0039419445123207,-0.018415156253059,-0.00787540717105656
-0.00229064034960928,-0.00289046608291106,-0.0190705031926561,-0.00462155535873808
-0.00470153017416804,-0.00625947689746577,-0.0162816802504662,-0.00568306597021017
0.0126305624248111,-0.00544468956806694,-0.0191057190658117,-0.00688333447532798
-0.015397865028871,-0.00440459668866498,-0.0201754235894865,-0.00493918497606147
-0.0223611670643139,-0.00407608913084929,-0.0216549278845418,-0.00649783722020565
-0.00472253784476288,-0.00292237132692175,-0.0210159908061356,-0.00386442120842842
-0.0181652695802021,-0.00496419248951713,-0.0213939767691177,-0.00719026650074501
-0.026537967039804,-0.00242601951244489,-0.0195254078716947,-0.00366880173994835
-0.0119213168163074,-0.00272257032164432,-0.0220891795159834,-0.00607854204896021
-0.0153177872712552,-0.00202809921333386,-0.0205772929177679,-0.00484253726807943
-0.00796061995884151,-0.00130197623578177,-0.0168955832718434,-0.00238877940101383
-0.00940828989540194,-0.00102997201226165,-0.0204980367306996,-0.00568650792150271
-0.0117263925050647,-0.0100722183815438,-0.0201568781790263,-0.00981010783128554
-0.00779421371787026,-0.0128671443080548,-0.0176139631606843,-0.00915819827496684
-0.0143642172752794,-0.0041932932832724,-0.0174082243410794,-0.00368534072467315
-0.00826203061821486,-0.00252132809262446,-0.0180439525853024,-0.0065458639201321
-0.00521533842124657,-0.00770216870095123,-0.0194045630382425,-0.00742032787392838
-0.017386736631618,-0.00108738618806449,-0.0196251798214499,-0.00334147536009042
-0.00467824280717555,-0.0089232131706653,-0.0200582352698251,-0.00835396953222439
-0.00413071624851295,-0.00435294055008387,-0.0195644869992485,-0.00529063432900232
-0.0138291888798472,-0.0100649114229961,-0.0194823087426765,-0.00820724377154652
-0.00844570065560307,-0.00637426746911755,-0.0222078425065978,-0.0100826961292033
-0.0161968260064455,-0.00249620707538689,-0.0202403865014178,-0.0034161945856918
-0.0145934689837699,-0.00387726211611403,-0.0218889111975104,-0.00721850791567419
