"","V1"
"X000001.SZ",0.00292255444260192
"X000063.SZ",0.00501505564642812
"X000069.SZ",0.00667782114260551
"X000100.SZ",0.0277245480148548
"X000157.SZ",0.0189965006906552
"X000338.SZ",0.00262812240626964
"X000408.SZ",0.0141846349919565
"X000425.SZ",0.00597016698650377
"X000538.SZ",0.0138992243554688
"X000568.SZ",0.00777480650978379
"X000596.SZ",0.00119811738765385
"X000617.SZ",-0.00727937700290138
"X000625.SZ",0.00637960696403894
"X000651.SZ",-0.000548095382315594
"X000661.SZ",-0.0163602831052065
"X000708.SZ",-0.00218818468055293
"X000733.SZ",0.0148150857851408
"X000768.SZ",-0.00542374210936236
"X000786.SZ",0.0379792480652164
"X000800.SZ",-0.00674311388489013
"X000858.SZ",0.00376648279547664
"X000876.SZ",0.00548698221625932
"X000877.SZ",0.0116506172199751
"X000895.SZ",-0.0390674681909098
"X000938.SZ",0.0143351078634053
"X000963.SZ",-0.105360515657827
"X000977.SZ",-0.00394700258677672
"X000983.SZ",0.0146941419392208
"X002001.SZ",-0.0278975035368907
"X002007.SZ",-0.0170585425033889
"X002027.SZ",0.0034071583216142
"X002049.SZ",-0.005494519317641
"X002050.SZ",-0.0035348216374933
"X002064.SZ",-0.00487805845343292
"X002074.SZ",0.0106602075521063
"X002129.SZ",0.0369360168319504
"X002142.SZ",0.000596480781180464
"X002179.SZ",0.0140362135980072
"X002202.SZ",-0.00888105304396047
"X002230.SZ",-0.000816659906555994
"X002236.SZ",0.00550965581096952
"X002241.SZ",0.00411241155309261
"X002252.SZ",-0.105246678785941
"X002271.SZ",0.0275120515897163
"X002304.SZ",0.0233442846056642
"X002311.SZ",-0.0110780851731547
"X300014.SZ",-0.0248658013902125
"X300015.SZ",-0.0202027073175195
"X300033.SZ",0.0227691082612762
"X600000.SH",-0.000917852290228893
"X600009.SH",-0.0113513117687964
"X600010.SH",0
"X600015.SH",0.00129617646144631
"X600016.SH",0
"X600019.SH",0.00579711768432611
"X600028.SH",-0.00170503025108393
"X600030.SH",0.0023487973217553
"X600031.SH",0.0122851667945776
"X600036.SH",-0.011134422616665
"X600039.SH",0.00588236990306634
"X600048.SH",0
"X600050.SH",0.00380952841666771
"X600085.SH",0.00656873580573114
"X600089.SH",0.00142348778485379
"X600104.SH",0.000809388955558266
"X600111.SH",-0.00204708362172479
"X600150.SH",-0.0182931930473256
"X600176.SH",0.0108643043919057
"X600183.SH",0.0372850205389832
"X600196.SH",-0.0626943638376432
"X600219.SH",0
"X600276.SH",-0.0705903159161085
"X600309.SH",-0.00383877630716567
"X600346.SH",0.0152563801840961
"X600362.SH",0.000752728676866266
"X600383.SH",0.0293214723053863
"X600406.SH",0.0148804068381394
"X600426.SH",0.00231392313039747
"X600436.SH",-0.00516797015844261
"X600438.SH",0.00320341971753768
"X600460.SH",0.00328767419419185
"X600519.SH",-0.00814392013801246
"X600547.SH",-0.00532577150888924
"X600585.SH",0
"X600600.SH",0.0250926298513519
"X600660.SH",0
"X600674.SH",0.00737104074458994
"X600690.SH",-0.0122878307936931
"X600732.SH",0.00219539056343554
"X600745.SH",-0.0353888753302098
"X600754.SH",-0.0061376781892073
"X600763.SH",-0.00551804273324175
"X600795.SH",0.0158106060266423
"X600803.SH",-0.00279981517474681
"X600809.SH",-0.00831173616268632
"X600837.SH",0.0146140387935958
"X600845.SH",0.0246009157400939
"X600875.SH",0.00255427980509637
"X600884.SH",0.0052015721960732
"X600886.SH",0.0212773984472845
"X600887.SH",0.000869187364586743
"X600900.SH",0.00910051783053545
"X600999.SH",0.0100000833345835
"X601006.SH",0.0114286958236227
"X601009.SH",0
"X601088.SH",0.021722708466509
"X601166.SH",0
"X601186.SH",0.025113427426982
"X601318.SH",0
"X601328.SH",0.0051326032265202
"X601390.SH",0.00981087056425922
"X601398.SH",0
"X601601.SH",-0.0087848295557329
"X601607.SH",-0.0612651957926023
"X601628.SH",-0.00185442797695901
"X601668.SH",0.0101523714640182
"X601699.SH",0.0222668007757512
"X601766.SH",0.0392207131532811
"X601808.SH",0.00849262004565388
"X601857.SH",-0.00395517984292759
"X601872.SH",0.0122400548945021
"X601888.SH",0.00377100206904935
"X601898.SH",0.010193768189543
"X601899.SH",0
"X601919.SH",0.00982808893626252
"X601939.SH",-0.00150715929057132
"X601988.SH",-0.00277392688272537
"X601998.SH",0.00177777824599934
