"","V1"
"X000001.SZ",-0.0536116120922241
"X000063.SZ",-0.0607750543101373
"X000069.SZ",-0.0398723912473773
"X000100.SZ",-0.0380426254458504
"X000157.SZ",-0.0181823190831902
"X000338.SZ",-0.0182762337726006
"X000408.SZ",-0.01882005932677
"X000425.SZ",-0.0295588022415445
"X000538.SZ",0.0117084892649002
"X000568.SZ",-0.0265890363230357
"X000596.SZ",-0.0440707790845813
"X000617.SZ",-0.0244910200082957
"X000625.SZ",-0.0499604393176223
"X000651.SZ",-0.00967841315191675
"X000661.SZ",-0.00699951615372107
"X000708.SZ",0.00282657163761169
"X000725.SZ",-0.028641575963384
"X000733.SZ",-0.0142367502187346
"X000768.SZ",-0.0302783593062612
"X000786.SZ",0.0190946284895124
"X000800.SZ",-0.00809721023261956
"X000858.SZ",-0.0433802956302252
"X000876.SZ",0.0741079721537217
"X000877.SZ",-0.011770167570154
"X000895.SZ",0.00406386626052369
"X000938.SZ",-0.0209736051964171
"X000963.SZ",-0.0533842671568707
"X000977.SZ",0
"X000983.SZ",-0.0142713941053327
"X002001.SZ",0.0164774226225175
"X002007.SZ",-0.0131859692465217
"X002027.SZ",-0.0540672212702757
"X002049.SZ",0.0494474458382803
"X002050.SZ",-0.0312693939813946
"X002064.SZ",-0.0326638068187917
"X002074.SZ",0.0215177748091442
"X002142.SZ",-0.0506914803299252
"X002179.SZ",-0.0403336550351181
"X002202.SZ",0.00434311214716532
"X002230.SZ",-0.0183542416072342
"X002236.SZ",-0.00699711309594875
"X002241.SZ",-0.0308263887108251
"X002252.SZ",-0.0246926125903717
"X002271.SZ",0.0201764084838714
"X002304.SZ",-0.0159384599842438
"X002311.SZ",0.0377291147691956
"X300014.SZ",-0.0153508045961237
"X300015.SZ",-0.00759265330980385
"X300033.SZ",-0.0298259795152545
"X600000.SH",-0.0213186368361065
"X600009.SH",-0.0109977542095407
"X600010.SH",-0.0173917427118692
"X600011.SH",-0.0264916154469763
"X600015.SH",-0.0206802052375386
"X600016.SH",-0.0176995770994011
"X600019.SH",-0.00614126802208248
"X600028.SH",-0.013158084577511
"X600030.SH",-0.0310033688937077
"X600031.SH",-0.0338582325654491
"X600036.SH",-0.0290987757031345
"X600039.SH",-0.0316649146439687
"X600048.SH",-0.0454161409229545
"X600050.SH",-0.0246926125903715
"X600085.SH",-0.0104251144664924
"X600089.SH",-0.0430835861363117
"X600104.SH",-0.0298968603424625
"X600111.SH",-0.0115608224010759
"X600150.SH",-0.0141846349919561
"X600176.SH",-0.00754720563538269
"X600183.SH",-0.0191476694141341
"X600196.SH",-0.0200629351459312
"X600219.SH",-0.0189579137446141
"X600276.SH",-0.00606099944388294
"X600309.SH",0.00577341031140177
"X600346.SH",0.00541587397303278
"X600362.SH",-0.0337973795832909
"X600383.SH",-0.0465910913661145
"X600406.SH",-0.034387342309476
"X600426.SH",0.00569802111463735
"X600436.SH",0.00315713389932171
"X600438.SH",-0.00151630051796392
"X600460.SH",0
"X600519.SH",-0.0361543256532748
"X600547.SH",-0.0194833170036928
"X600585.SH",0.00781253973679386
"X600600.SH",-0.00366684538677609
"X600660.SH",-0.0104296947415379
"X600674.SH",-0.00448431244732861
"X600690.SH",-0.00531209748489037
"X600732.SH",0.0948213017696551
"X600754.SH",-0.0207261305171169
"X600763.SH",-0.018814545946106
"X600795.SH",-0.00975617494536474
"X600803.SH",-0.023530497410194
"X600809.SH",-0.0214833569272859
"X600837.SH",-0.0196232711841393
"X600845.SH",-0.022671567285498
"X600875.SH",-0.015982075338568
"X600884.SH",-0.0386012836968121
"X600886.SH",0.0118656632765006
"X600887.SH",-0.00396754352736295
"X600900.SH",-0.0124815884884888
"X600999.SH",-0.0303685141339805
"X601006.SH",-0.0114123920517448
"X601009.SH",-0.0273989741881147
"X601088.SH",-0.0115311975991896
"X601166.SH",-0.0257794848346209
"X601186.SH",-0.0307411415542806
"X601318.SH",-0.0319723029110337
"X601328.SH",-0.0155041865359653
"X601390.SH",-0.0201287674306136
"X601398.SH",-0.0116732843047247
"X601601.SH",-0.00789666702142489
"X601607.SH",-0.020958003005898
"X601628.SH",-0.0169104721483162
"X601668.SH",-0.0192313619278877
"X601699.SH",-0.0101695791696288
"X601766.SH",-0.0157981168765911
"X601808.SH",-0.0419078245464903
"X601857.SH",-0.0120483385161745
"X601872.SH",0.00742393907128225
"X601888.SH",-0.0241165029971011
"X601898.SH",-0.0168475705726114
"X601899.SH",-0.0203200024909576
"X601919.SH",-0.0145987994211525
"X601939.SH",-0.00934586241823765
"X601988.SH",-0.016997576368571
"X601998.SH",-0.0133208439756607
