"","V1"
"X000001.SZ",-0.00083160087952594
"X000063.SZ",-0.0250236470761531
"X000100.SZ",-0.00519481687710388
"X000157.SZ",-0.00923794098493635
"X000338.SZ",-0.0129642357867144
"X000408.SZ",0.000593295775338731
"X000425.SZ",-0.0162605208717805
"X000538.SZ",-0.0208913590313768
"X000568.SZ",-0.0174214482997899
"X000596.SZ",-0.0173150870872254
"X000617.SZ",-0.0153849188394797
"X000625.SZ",0.00493828164058252
"X000651.SZ",-0.00545678275656902
"X000661.SZ",-0.0154592978535382
"X000708.SZ",-0.0157621476938763
"X000725.SZ",-0.0166393190039646
"X000733.SZ",0.00527308189815789
"X000768.SZ",0
"X000786.SZ",0.000399760149237149
"X000800.SZ",0.00631486085867428
"X000858.SZ",-0.0204305328577474
"X000876.SZ",-0.00519481687710366
"X000877.SZ",0.035153004417896
"X000895.SZ",-0.0169855463657438
"X000938.SZ",0.0101083893207612
"X000963.SZ",-0.0202807530523597
"X000977.SZ",-0.0140189211793311
"X000983.SZ",-0.0119113481933484
"X002001.SZ",-0.0392207131532811
"X002007.SZ",-0.0202170389955438
"X002027.SZ",-0.0260274952447754
"X002049.SZ",-0.0140179578466624
"X002050.SZ",-0.0353120122772159
"X002064.SZ",-0.00770716724493781
"X002074.SZ",-0.0170786519009352
"X002129.SZ",0.0505809349212081
"X002142.SZ",-0.000501882068251192
"X002179.SZ",-0.0229017642866842
"X002202.SZ",-0.00883983656914111
"X002230.SZ",0.00988475923254217
"X002236.SZ",-0.0322882763776362
"X002241.SZ",-0.0207750625749643
"X002271.SZ",0.0274531351001976
"X002304.SZ",-0.0287277628751683
"X002311.SZ",0.000863557912041735
"X300014.SZ",-0.0151557643582052
"X300015.SZ",-0.025144181801025
"X300033.SZ",-0.00753725068154898
"X600000.SH",-0.000800320170769364
"X600009.SH",0.00894371459052268
"X600010.SH",-0.0129034048359078
"X600011.SH",-0.00717878172700592
"X600015.SH",-0.00428266179200065
"X600016.SH",-0.00471698987813873
"X600019.SH",0.00216919824754536
"X600028.SH",-0.012480661223609
"X600030.SH",-0.0183011643824043
"X600031.SH",-0.0260987529673611
"X600036.SH",-0.00357317255273548
"X600039.SH",0.00255427980509659
"X600048.SH",-0.00274914262492176
"X600050.SH",-0.0158481922400235
"X600085.SH",-0.0104525365570716
"X600089.SH",-0.00762946480115678
"X600104.SH",-0.00594114628990816
"X600111.SH",-0.0243644388741409
"X600150.SH",0
"X600176.SH",-0.000592241651897751
"X600183.SH",-0.0146152123709706
"X600196.SH",-0.0216698198147589
"X600219.SH",-0.0117995469311549
"X600276.SH",-0.0146116719782396
"X600309.SH",0
"X600346.SH",0.0114505067879955
"X600362.SH",-0.0163135754915236
"X600383.SH",0.00406339445725656
"X600406.SH",-0.0052524194286101
"X600426.SH",0.013022430367025
"X600436.SH",-0.0270236692484493
"X600438.SH",-0.0151661674714112
"X600460.SH",-0.0318235458128373
"X600519.SH",-0.0189645229093447
"X600547.SH",-0.00331675262599385
"X600585.SH",0.00735973883208008
"X600600.SH",-0.00318276679499796
"X600660.SH",-0.0138294112104962
"X600674.SH",-0.0063694482854797
"X600690.SH",0.00195312562088201
"X600732.SH",-0.00452830962474748
"X600745.SH",-0.0276177925697318
"X600754.SH",0.0033726844786397
"X600763.SH",-0.026534723254636
"X600795.SH",-0.0159493014076779
"X600803.SH",-0.00815665207374883
"X600809.SH",-0.0194320616091721
"X600837.SH",-0.0186769537834088
"X600845.SH",-0.0525514953264303
"X600875.SH",-0.0162605208717803
"X600884.SH",-0.0109508311867517
"X600886.SH",-0.00274725447513902
"X600887.SH",0.0138199210604006
"X600900.SH",0
"X600999.SH",-0.0187133331520744
"X601006.SH",-0.00331308972296007
"X601009.SH",-0.00112422721228089
"X601088.SH",0.00514801651740093
"X601166.SH",-0.00335008688528182
"X601186.SH",-0.0133335308694655
"X601318.SH",-0.0241935807720086
"X601328.SH",0
"X601390.SH",-0.00786373646021499
"X601398.SH",0.00308166653740805
"X601601.SH",-0.0299438763730722
"X601607.SH",-0.00381437207547064
"X601628.SH",-0.0154414832847811
"X601668.SH",-0.0100167782434712
"X601699.SH",0.00517242532498807
"X601766.SH",-0.013158084577511
"X601808.SH",-0.00710482562374448
"X601857.SH",-0.00748133165228904
"X601872.SH",0
"X601888.SH",0.000709345658401084
"X601898.SH",-0.0140353181163835
"X601899.SH",-0.00835077921742
"X601919.SH",-0.0171477311607784
"X601939.SH",0.00367422336188428
"X601988.SH",0.00478469812333637
"X601998.SH",0
