"","V1"
"X000001.SZ",-0.0442332549768256
"X000063.SZ",-0.105418721181547
"X000069.SZ",-0.0133039656263629
"X000100.SZ",-0.0143887374520999
"X000157.SZ",-0.00454546237167475
"X000338.SZ",-0.0457360093226842
"X000408.SZ",-0.0114417724197851
"X000425.SZ",-0.0244245520070747
"X000538.SZ",-0.0208596520524313
"X000568.SZ",-0.0195158853681816
"X000596.SZ",-0.0161426664646926
"X000617.SZ",-0.00488316282507206
"X000625.SZ",0.00150489117942065
"X000651.SZ",-0.0328337701740713
"X000661.SZ",-0.0309571034347433
"X000708.SZ",0.014425366817866
"X000725.SZ",-0.101906280789739
"X000733.SZ",-0.0125699979096701
"X000768.SZ",-0.00527087603899901
"X000786.SZ",-0.00491182054720873
"X000800.SZ",-0.00678625968435886
"X000858.SZ",-0.0127895899897768
"X000876.SZ",0.001268230987995
"X000877.SZ",0.0505944474564974
"X000895.SZ",-0.0251090575446811
"X000938.SZ",-0.0212309850430854
"X000963.SZ",-0.0291779949254423
"X000977.SZ",-0.0385063180624292
"X000983.SZ",-0.00104986886283687
"X002001.SZ",-0.0605723947680348
"X002007.SZ",0.0047011503640948
"X002027.SZ",-0.0675327712668641
"X002049.SZ",-0.017765573065907
"X002050.SZ",-0.0288655038021384
"X002064.SZ",0.00421941554270822
"X002074.SZ",-0.207405741144854
"X002129.SZ",0
"X002142.SZ",-0.0340297485863115
"X002179.SZ",-0.0018659208399221
"X002202.SZ",-0.00185128099772269
"X002230.SZ",-0.0270871597108089
"X002236.SZ",-0.0227413924591096
"X002241.SZ",-0.0184113727840698
"X002252.SZ",-0.000506970860034706
"X002271.SZ",-0.0239279536952357
"X002304.SZ",-0.0304343750233453
"X002311.SZ",-0.0564289987423821
"X300014.SZ",-0.0387946243377528
"X300015.SZ",0.00449775870683133
"X300033.SZ",-0.00674204417797375
"X600000.SH",0.000763650285297235
"X600009.SH",-0.0226914112020706
"X600010.SH",-0.0156865961676996
"X600011.SH",-0.00156372197618282
"X600015.SH",0
"X600016.SH",0.00109829774906256
"X600019.SH",0.00112296474462381
"X600028.SH",0
"X600030.SH",0.000525900616906494
"X600031.SH",-0.0191393402106974
"X600036.SH",-0.00700353037733725
"X600039.SH",0.00248447332766211
"X600048.SH",0.00167364055802999
"X600050.SH",-0.0886486127664159
"X600085.SH",0.00180234353386055
"X600089.SH",-0.0306196760532722
"X600104.SH",-0.00471328445209807
"X600111.SH",-0.0158504759368263
"X600150.SH",0
"X600176.SH",-0.0301604324600779
"X600183.SH",-0.00338638996151808
"X600196.SH",-0.0282527042442369
"X600219.SH",-0.00543479598595686
"X600276.SH",-0.0156023864831116
"X600309.SH",-0.0168610979660664
"X600346.SH",-0.00197044398729895
"X600362.SH",-0.0109986636969044
"X600383.SH",0.00162733965937578
"X600406.SH",0.00151937228519783
"X600426.SH",-0.0340357348358959
"X600436.SH",-0.0187307063333657
"X600438.SH",-0.0786503653302524
"X600460.SH",-0.0677294474401795
"X600519.SH",-0.0139853477774983
"X600547.SH",0.0022439502924394
"X600585.SH",-0.0425747163948897
"X600600.SH",-0.026904613789323
"X600660.SH",-0.0147822351732949
"X600674.SH",-0.0145987994211527
"X600690.SH",-0.0189348367327788
"X600745.SH",-0.0317981902795701
"X600754.SH",-0.0249736386495818
"X600763.SH",0.00452096057810225
"X600795.SH",-0.0230557762999257
"X600803.SH",0.0138941906100136
"X600809.SH",-0.0148299311043378
"X600837.SH",0.00139567363897442
"X600845.SH",-0.0275434933010188
"X600875.SH",-0.0019102202561192
"X600884.SH",-0.0345420201545035
"X600886.SH",-0.00257400399517316
"X600887.SH",-0.00100050033358379
"X600900.SH",-0.00178200225356884
"X600999.SH",0.00153413479334796
"X601006.SH",0
"X601009.SH",0
"X601088.SH",0.00130067219724106
"X601166.SH",-0.00112044829648994
"X601186.SH",0.00169923575295972
"X601318.SH",-0.0144431207455655
"X601328.SH",0.00156862777262634
"X601390.SH",0.00230414848485028
"X601398.SH",-0.0149380371088665
"X601601.SH",-0.000891265656146611
"X601607.SH",0.00160064059784615
"X601618.SH",0.00199005040801015
"X601628.SH",0.00246913705692142
"X601668.SH",-0.00207900282783324
"X601699.SH",0.00199800266267269
"X601766.SH",0.00171379647773495
"X601808.SH",-0.0145854910188929
"X601888.SH",-0.0623160636783004
"X601898.SH",0.0017406444777841
"X601899.SH",0.00260756340708079
"X601919.SH",-0.0242534119285032
"X601939.SH",-0.0151831764213901
"X601988.SH",-0.0125787822068599
"X601998.SH",0.00157853229304972
