"","V1"
"X000001.SZ",-0.0217019367682436
"X000063.SZ",-0.0399062707669695
"X000069.SZ",-0.0273648916060147
"X000100.SZ",-0.0454016557792798
"X000157.SZ",-0.0396877482672424
"X000338.SZ",-0.0822380982369721
"X000408.SZ",-0.0584435958700746
"X000425.SZ",-0.0415860337781029
"X000538.SZ",-0.0286678948695718
"X000568.SZ",-0.0177194904762121
"X000596.SZ",-0.0220133227048018
"X000617.SZ",-0.0291565842914556
"X000625.SZ",-0.0507275235096585
"X000651.SZ",-0.0367200866939301
"X000661.SZ",-0.00660068403135217
"X000708.SZ",-0.0608852534151474
"X000725.SZ",-0.05284248137438
"X000733.SZ",-0.0432968057533243
"X000768.SZ",-0.0374666178401775
"X000786.SZ",-0.0385985001289555
"X000800.SZ",-0.0639803296634072
"X000858.SZ",-0.0284193550397847
"X000877.SZ",-0.0606771883788566
"X000895.SZ",-0.00335758569484579
"X000938.SZ",-0.0490282877566983
"X000963.SZ",-0.0289447259050757
"X000977.SZ",-0.0130123165358547
"X000983.SZ",-0.0443900893770679
"X002001.SZ",-0.00451468035452685
"X002007.SZ",0.0039093990229917
"X002027.SZ",-0.0722495403534662
"X002049.SZ",-0.066491137293931
"X002050.SZ",-0.0321085184084176
"X002064.SZ",-0.0368365773564903
"X002074.SZ",-0.0336554363806112
"X002142.SZ",-0.00219828622269747
"X002179.SZ",-0.0158067010465235
"X002202.SZ",-0.0324703850307841
"X002230.SZ",-0.0471467784257018
"X002236.SZ",-0.0386521544342791
"X002241.SZ",-0.0322163158119952
"X002271.SZ",-0.0352389866750946
"X002304.SZ",-0.0170359026095825
"X002311.SZ",0.0209651284650447
"X300014.SZ",-0.0363676441708747
"X300015.SZ",0.0229309410639171
"X300033.SZ",-0.0248296675676647
"X600000.SH",-0.00690849034381191
"X600009.SH",0.00806751716980791
"X600010.SH",-0.0167134809737406
"X600011.SH",0.00752448997861532
"X600015.SH",-0.0178046246335066
"X600016.SH",-0.00936044275956394
"X600019.SH",-0.0446321540207681
"X600028.SH",-0.0155847310166981
"X600030.SH",-0.0285254240365331
"X600031.SH",-0.037179003241754
"X600036.SH",-0.010388974529274
"X600039.SH",-0.0433188747188422
"X600048.SH",-0.00450113288079157
"X600050.SH",-0.040235312191899
"X600085.SH",-0.0172607454953728
"X600089.SH",-0.0332338277547035
"X600104.SH",-0.036915139393968
"X600111.SH",0.00948691893175635
"X600150.SH",-0.0122506965835125
"X600176.SH",-0.0280434478489706
"X600183.SH",0.00145243308031473
"X600196.SH",-0.0194046282653373
"X600219.SH",-0.0340297485863114
"X600276.SH",0.0165684263472325
"X600309.SH",-0.0279390127160739
"X600362.SH",-0.0421313488876249
"X600383.SH",-0.0252353643550745
"X600406.SH",-0.00848261448256027
"X600426.SH",-0.0439701284051623
"X600436.SH",-0.00848416482075631
"X600460.SH",-0.0882660822985262
"X600519.SH",-0.0183424567508492
"X600547.SH",-0.0085106896679088
"X600585.SH",-0.0304187003351912
"X600600.SH",-0.0248498257590732
"X600660.SH",-0.0247867789824561
"X600674.SH",-0.0145010906907999
"X600690.SH",-0.0260960010007372
"X600732.SH",0
"X600745.SH",-0.00594275114708154
"X600754.SH",-0.0342933343550516
"X600763.SH",0.0190761470608134
"X600803.SH",-0.0416556752688328
"X600809.SH",0.0110881246904659
"X600837.SH",-0.0256973454952845
"X600845.SH",-0.0163364193196935
"X600875.SH",-0.0889127764488005
"X600884.SH",-0.0541770932695074
"X600886.SH",-0.0145105327144144
"X600887.SH",-0.00947874395454384
"X600900.SH",-0.0053587505431052
"X600999.SH",-0.0310321092477284
"X601006.SH",0.00119402999260787
"X601009.SH",-0.0273989741881144
"X601088.SH",-0.01825608511581
"X601166.SH",-0.00776200533548899
"X601186.SH",-0.0370739722575171
"X601318.SH",-0.0193558260330002
"X601328.SH",-0.00320513094894848
"X601390.SH",-0.0261903322521908
"X601398.SH",-0.0138650401371714
"X601601.SH",-0.00838862989762079
"X601607.SH",-0.0249265148818338
"X601628.SH",-0.00709582298146927
"X601668.SH",-0.0285280836145383
"X601699.SH",-0.0139862419747399
"X601766.SH",-0.0267276489058146
"X601808.SH",-0.0364373962024311
"X601857.SH",-0.0184701820624009
"X601888.SH",0.0061966685797783
"X601898.SH",-0.0246926125903715
"X601899.SH",-0.0290718148219768
"X601919.SH",-0.0485363892664079
"X601939.SH",-0.0108549234094355
"X601988.SH",-0.00512821636691951
"X601998.SH",-0.0126784582597708
