"","V1"
"X000001.SZ",-0.0385336640022431
"X000063.SZ",-0.0287565285207707
"X000069.SZ",-0.0377028783058462
"X000100.SZ",-0.0380719479494078
"X000157.SZ",-0.0322608622182217
"X000338.SZ",-0.0385098547618759
"X000408.SZ",-0.0425325928691085
"X000425.SZ",-0.0378243086673389
"X000538.SZ",-0.00699705220121594
"X000568.SZ",-0.00404313219235597
"X000596.SZ",0.0128143695333511
"X000617.SZ",-0.0656335768329726
"X000625.SZ",-0.00944145487091852
"X000651.SZ",-0.0117243364034025
"X000661.SZ",-0.0136081654153317
"X000708.SZ",-0.0572576152685307
"X000725.SZ",-0.0650048303089956
"X000733.SZ",-0.0741704623896426
"X000768.SZ",-0.105288415005284
"X000786.SZ",-0.0705172008767385
"X000800.SZ",-0.0776453436245195
"X000858.SZ",-0.0185346502168224
"X000876.SZ",-0.0290225932263435
"X000877.SZ",-0.0778892148426329
"X000895.SZ",-0.0327898228229908
"X000938.SZ",-0.0890617426883233
"X000963.SZ",-0.00560225554866989
"X000977.SZ",-0.0294415251681519
"X000983.SZ",-0.0431333708175754
"X002001.SZ",-0.0538796973784614
"X002007.SZ",-0.00118180041329996
"X002027.SZ",-0.0396091380950456
"X002049.SZ",-0.0757960247773473
"X002050.SZ",-0.105360515657826
"X002064.SZ",-0.0209212651606396
"X002074.SZ",-0.105122108218385
"X002129.SZ",0
"X002142.SZ",-0.00696220032037242
"X002179.SZ",-0.0108267334080301
"X002202.SZ",-0.0185763855729357
"X002230.SZ",-0.0943515476402133
"X002236.SZ",-0.0216588003422316
"X002241.SZ",-0.0390473177825035
"X002252.SZ",0.00203562411259828
"X002271.SZ",-0.0483066051658123
"X002304.SZ",-0.000984979148829446
"X002311.SZ",-0.0343991724367352
"X300014.SZ",-0.096475788353215
"X300015.SZ",-0.0645385211375715
"X300033.SZ",-0.0759763044735893
"X600000.SH",-0.000741564735503353
"X600009.SH",-0.0126308750362938
"X600010.SH",-0.0363676441708748
"X600011.SH",-0.00990107098271142
"X600015.SH",-0.0272921422880077
"X600016.SH",-0.0366420302337844
"X600019.SH",-0.0143500220298063
"X600028.SH",-0.0292574059883699
"X600030.SH",-0.0585902080142846
"X600031.SH",-0.0266967269682437
"X600036.SH",-0.0077687054506197
"X600039.SH",-0.0364623725373552
"X600048.SH",-0.035951584252246
"X600050.SH",-0.0581819553827359
"X600085.SH",0
"X600089.SH",-0.0580184175786838
"X600104.SH",0
"X600111.SH",-0.0814357301238373
"X600150.SH",0
"X600176.SH",-0.0764551311773087
"X600183.SH",-0.0709890612433632
"X600196.SH",-0.0565729851430774
"X600219.SH",-0.0326923616855423
"X600276.SH",-0.0612637110933925
"X600309.SH",0
"X600346.SH",-0.0691680641993826
"X600362.SH",-0.0233046873155232
"X600383.SH",-0.0726872042102467
"X600406.SH",0
"X600426.SH",-0.105475187981786
"X600436.SH",-0.0459152617250016
"X600438.SH",-0.0879012942860578
"X600460.SH",0.00547090071090128
"X600519.SH",-0.0131318061928773
"X600547.SH",0.0197700014010036
"X600585.SH",-0.0460268101788688
"X600600.SH",-0.0414740701420606
"X600660.SH",-0.0400129581628428
"X600674.SH",-0.0305126248613941
"X600690.SH",-0.0142613678465611
"X600732.SH",-0.0505774747435277
"X600745.SH",-0.025581277884378
"X600754.SH",-0.105243992702673
"X600763.SH",-0.0716046258595679
"X600803.SH",0
"X600809.SH",-0.10539825791595
"X600837.SH",-0.0529381888922784
"X600845.SH",-0.013225014725887
"X600875.SH",0
"X600884.SH",-0.0819825724913628
"X600886.SH",-0.0225679535650303
"X600887.SH",-0.000302892626880436
"X600900.SH",0
"X600999.SH",-0.0236541908978896
"X601006.SH",-0.00505306785139137
"X601009.SH",-0.040740855325923
"X601088.SH",-0.0279219411659537
"X601166.SH",-0.0134856815542639
"X601186.SH",-0.0151518050206025
"X601318.SH",-0.0259581072190036
"X601328.SH",0
"X601390.SH",0
"X601398.SH",-0.0234997759158979
"X601607.SH",-0.0448544355578764
"X601628.SH",-0.0288954855085257
"X601668.SH",-0.0194369578765028
"X601699.SH",-0.0312525435041042
"X601766.SH",0
"X601808.SH",-0.0818977499439368
"X601857.SH",-0.0583544732818955
"X601872.SH",-0.0543343509633294
"X601888.SH",-0.0754131068568249
"X601898.SH",-0.0435904360748618
"X601899.SH",-0.0205422723003141
"X601919.SH",-0.0611674608779873
"X601939.SH",-0.0406517672664606
"X601988.SH",0
"X601998.SH",-0.0160994189341812
