"","V1"
"X000001.SZ",-0.00692643461786879
"X000063.SZ",0.000328353311109808
"X000069.SZ",0
"X000100.SZ",0.0329560876832957
"X000157.SZ",0
"X000338.SZ",-0.00127307464679838
"X000408.SZ",0.00521891587579182
"X000425.SZ",0.00268456537066886
"X000538.SZ",0.0105821093305369
"X000568.SZ",-0.0102886948232372
"X000596.SZ",-0.00298062813813793
"X000617.SZ",-0.0132681496488516
"X000625.SZ",-0.0105746491214274
"X000651.SZ",0.0294358992732833
"X000661.SZ",-0.00935886431356003
"X000708.SZ",-0.0171710079238196
"X000725.SZ",0.00779731046003174
"X000733.SZ",-0.0128431420903188
"X000768.SZ",0.00840548830187693
"X000786.SZ",0.0505687328908353
"X000800.SZ",0.00762780204888625
"X000876.SZ",0
"X000877.SZ",-0.0243053909011191
"X000895.SZ",0.00410004674401332
"X000938.SZ",-0.000323676973209786
"X000963.SZ",0.0243173076507062
"X000977.SZ",-0.0244693059434438
"X000983.SZ",-0.0136321487900579
"X002001.SZ",0.0356965913221652
"X002007.SZ",-0.00499822532879435
"X002027.SZ",-0.02267670867103
"X002049.SZ",0.0189522995755742
"X002050.SZ",-0.00297177038915741
"X002064.SZ",0.0018850146957714
"X002074.SZ",-0.01913468466303
"X002129.SZ",0
"X002142.SZ",0.00479042832263232
"X002179.SZ",-0.0394548968460029
"X002202.SZ",0.0471368553789295
"X002230.SZ",-0.056219534792481
"X002236.SZ",0.00231481584845117
"X002241.SZ",0.00722720563265211
"X002252.SZ",0.00196270916784869
"X002271.SZ",-0.00598445831524019
"X002304.SZ",0.00838739190690507
"X002311.SZ",-0.0103789203613514
"X300014.SZ",-0.0338316093780482
"X300015.SZ",0.000384245922114612
"X300033.SZ",-0.029082802187224
"X600000.SH",-0.0038417258159984
"X600009.SH",-0.0118076990496867
"X600010.SH",-0.00754720563538291
"X600011.SH",0
"X600015.SH",-0.00321027563024812
"X600016.SH",-0.00245398896156646
"X600019.SH",-0.0172303798872089
"X600028.SH",0.00171969087952673
"X600030.SH",-0.00390298794875843
"X600031.SH",0.00506971935025069
"X600036.SH",0.0059369376609566
"X600039.SH",0
"X600048.SH",0.00392157365318191
"X600050.SH",0
"X600085.SH",0.000912270095198231
"X600089.SH",-0.00100959120135213
"X600104.SH",-0.0157433982125883
"X600111.SH",-0.0263519859884247
"X600150.SH",0
"X600176.SH",0.0158402645092175
"X600183.SH",0.00813012608325048
"X600196.SH",0.00266099145841636
"X600219.SH",-0.0154642256975817
"X600276.SH",0.0127751914887231
"X600309.SH",0.00283176917252481
"X600346.SH",0
"X600362.SH",-0.0289265501073617
"X600383.SH",-0.00349345333455986
"X600406.SH",0.00476191376024371
"X600426.SH",0.00392927813988919
"X600436.SH",-0.00472582970301083
"X600438.SH",0.00641027836091901
"X600460.SH",-0.00204918104493546
"X600519.SH",-0.00708778539510213
"X600547.SH",-0.0224877201042757
"X600585.SH",-0.00945925210700826
"X600600.SH",-0.0154562582366915
"X600660.SH",0.00385356931599024
"X600674.SH",-0.00208768343048371
"X600690.SH",0.011864016772646
"X600732.SH",0.0489265991242789
"X600745.SH",-0.0179578338676603
"X600754.SH",-0.00760197164760967
"X600763.SH",0.000814995970131349
"X600795.SH",-0.006006024060212
"X600803.SH",0.00285510543697987
"X600809.SH",0.00394700258677627
"X600837.SH",-0.00879870312588826
"X600845.SH",-0.00410196883401737
"X600875.SH",0.00775197680431772
"X600884.SH",-0.0285989106620006
"X600886.SH",0
"X600887.SH",0.00755535164444954
"X600900.SH",0.00648090408408297
"X600999.SH",-0.00198019866686217
"X601006.SH",0.00222965532726915
"X601009.SH",-0.00745345065458114
"X601088.SH",-0.00982808893626252
"X601166.SH",-0.00779080178776859
"X601186.SH",-0.00584065072954187
"X601318.SH",0.013378707065324
"X601328.SH",-0.00790517950711322
"X601390.SH",0.00454546237167497
"X601398.SH",-0.00970881412696079
"X601601.SH",0.00465598357921948
"X601607.SH",0.00122524009610148
"X601628.SH",-0.00494875523925886
"X601668.SH",0
"X601699.SH",-0.0244910200082957
"X601766.SH",0.000999500333083159
"X601808.SH",-0.00264200946283832
"X601857.SH",0
"X601888.SH",0.00249204060852781
"X601898.SH",-0.00966191091173685
"X601899.SH",-0.0252538673212033
"X601919.SH",-0.00857148105014094
"X601939.SH",-0.00703732672057611
"X601988.SH",-0.00241254640538413
"X601998.SH",-0.00314465667947195
