"","V1"
"X000001.SZ",-0.0143605601038677
"X000063.SZ",-0.0414202045097944
"X000069.SZ",-0.0207046733616911
"X000100.SZ",-0.0405852801150783
"X000157.SZ",-0.0367688477870889
"X000338.SZ",-0.035620204118139
"X000408.SZ",-0.00120554565534903
"X000425.SZ",-0.0197700014010038
"X000538.SZ",-0.0314920827189082
"X000568.SZ",-0.0230683323350922
"X000596.SZ",-0.0194441258284588
"X000617.SZ",-0.0126673052007658
"X000625.SZ",0.0115965737149408
"X000651.SZ",-0.0178218937774326
"X000661.SZ",-0.027464699233982
"X000708.SZ",0.0204625672308656
"X000725.SZ",-0.038857802606747
"X000733.SZ",-0.0254240523401585
"X000768.SZ",0.00215842950191014
"X000786.SZ",-0.0939318198342036
"X000800.SZ",-0.0314018975481432
"X000858.SZ",-0.0224646632941781
"X000876.SZ",-0.0358461317731358
"X000877.SZ",-0.0316212042110098
"X000895.SZ",-0.0375902587460772
"X000938.SZ",-0.015012792389185
"X000963.SZ",-0.0480537157553647
"X000977.SZ",-0.0576992174873299
"X000983.SZ",-0.00458716400690617
"X002001.SZ",-0.0449621402613953
"X002007.SZ",-0.0929329338930671
"X002027.SZ",-0.0707155247983977
"X002049.SZ",-0.0212337355890879
"X002050.SZ",-0.0264502075135287
"X002074.SZ",-0.0656116341150823
"X002129.SZ",-0.0404874575065186
"X002142.SZ",-0.0134712409898796
"X002179.SZ",-0.0337475244125511
"X002202.SZ",-0.0204985215483409
"X002230.SZ",-0.0415673432919688
"X002236.SZ",-0.0411048399471157
"X002241.SZ",-0.00154202035181505
"X002252.SZ",-0.0298529631496809
"X002271.SZ",-0.0368389643473894
"X002304.SZ",-0.0307602536223026
"X002311.SZ",-0.0360600652497931
"X300014.SZ",-0.0303682539253112
"X300015.SZ",-0.032118377017011
"X300033.SZ",-0.0408087502765353
"X600000.SH",-0.00398804117795581
"X600009.SH",-0.0350959676989211
"X600010.SH",0.0884109573440531
"X600011.SH",0.00528635592314819
"X600015.SH",-0.00637960696403894
"X600016.SH",-0.00545952220489876
"X600019.SH",0.00985229644301167
"X600028.SH",-0.00758537138925663
"X600030.SH",-0.0184397717402667
"X600031.SH",-0.0432665254332592
"X600036.SH",0.00026599281976214
"X600039.SH",0.00667410708769323
"X600048.SH",-0.0127235887950508
"X600050.SH",-0.0078431774610257
"X600085.SH",-0.0252739781317701
"X600089.SH",0.00370142310318622
"X600104.SH",-0.0428199971829279
"X600111.SH",-0.0371533012562741
"X600150.SH",0.0125158079318308
"X600176.SH",-0.0528220279213252
"X600183.SH",-0.0492152438782769
"X600196.SH",-0.0488792417709281
"X600219.SH",-0.0116960397631913
"X600276.SH",-0.0222316553615967
"X600309.SH",-0.055531074180573
"X600346.SH",-0.0263867551731951
"X600362.SH",-0.034442179898829
"X600383.SH",-0.0164387263431598
"X600406.SH",-0.0344945542627371
"X600426.SH",-0.0565306017444085
"X600436.SH",-0.0468735217904808
"X600438.SH",-0.0442248937378573
"X600460.SH",-0.018534650216822
"X600519.SH",-0.0137673528280517
"X600547.SH",-0.00626730162039157
"X600585.SH",-0.0199045692912732
"X600600.SH",-0.0267138722433931
"X600660.SH",-0.0511047913580911
"X600674.SH",-0.0189721117355983
"X600690.SH",-0.0184795592748372
"X600732.SH",-0.0574779099516602
"X600745.SH",-0.0762187619893071
"X600754.SH",-0.0491005400370965
"X600763.SH",-0.00580629765302199
"X600795.SH",0.0186051878310345
"X600803.SH",-0.0516720105443209
"X600809.SH",0.000797851163304664
"X600837.SH",-0.0211684244374784
"X600845.SH",0.00148920355146753
"X600875.SH",-0.0292133724659016
"X600884.SH",-0.0607947814833327
"X600886.SH",-0.016138058681828
"X600887.SH",-0.0179637974158977
"X600900.SH",-0.000500125041682065
"X600999.SH",-0.0365749625089244
"X601006.SH",-0.00152322954052164
"X601009.SH",-0.00938974034983886
"X601088.SH",-0.014046032451843
"X601166.SH",-0.0115749083960757
"X601186.SH",-0.00456621797958112
"X601318.SH",-0.00859268403693569
"X601328.SH",-0.00431035150112224
"X601390.SH",-0.00355872261699397
"X601398.SH",-0.00202224538076767
"X601601.SH",-0.0224948360479029
"X601607.SH",-0.0315394463894463
"X601618.SH",0.0210534091978323
"X601628.SH",-0.00909203139316794
"X601668.SH",-0.0137933221323359
"X601699.SH",-0.00468384931242638
"X601766.SH",-0.00528635592314819
"X601808.SH",-0.0312525435041042
"X601857.SH",-0.00698489452195084
"X601872.SH",0.00637960696403894
"X601888.SH",-0.0349828885836692
"X601898.SH",0.00241254640538413
"X601899.SH",-0.0450330265133145
"X601919.SH",0.00495459312468349
"X601939.SH",-0.00645163528148851
"X601988.SH",0
"X601998.SH",-0.00581960905326406
