"","V1"
"X000001.SZ",-0.0224728558520586
"X000063.SZ",-0.0198346919385011
"X000069.SZ",0.0371455197909465
"X000100.SZ",0
"X000157.SZ",-0.00435730536895562
"X000338.SZ",-0.0229895182246986
"X000408.SZ",-0.00324851395583092
"X000425.SZ",-0.00522194398115183
"X000538.SZ",-0.0205956936720808
"X000568.SZ",0.00300075243923814
"X000596.SZ",-0.020174734898323
"X000617.SZ",-0.0148066486397647
"X000625.SZ",0.00218898299738202
"X000651.SZ",-0.0102645986118826
"X000661.SZ",0.0173289534889909
"X000708.SZ",0.0519424342999915
"X000725.SZ",-0.0125472160520885
"X000733.SZ",-0.0277549554866745
"X000768.SZ",-0.0163981458096361
"X000786.SZ",0
"X000800.SZ",0.00640148505204108
"X000858.SZ",-0.0127128277849091
"X000876.SZ",-0.00528402814660511
"X000877.SZ",0
"X000895.SZ",-0.0052015721960732
"X000938.SZ",-0.0270652515085619
"X000963.SZ",-0.0156036082331754
"X000977.SZ",-0.019428565785419
"X000983.SZ",-0.0348526563256506
"X002001.SZ",-0.0108011851173475
"X002007.SZ",-0.00425834568257732
"X002027.SZ",-0.00813839690297113
"X002049.SZ",-0.0181030756748291
"X002050.SZ",-0.0231760083479231
"X002064.SZ",-0.0144406841547944
"X002074.SZ",-0.00691609169837326
"X002129.SZ",0
"X002142.SZ",-0.00687287928776215
"X002179.SZ",-0.0200360267604203
"X002202.SZ",0.00670019256981957
"X002230.SZ",0.0100726417131662
"X002236.SZ",-0.02542509836581
"X002241.SZ",-0.0230957147946493
"X002252.SZ",0
"X002271.SZ",0.0174220434466643
"X002304.SZ",-0.00731599056465182
"X002311.SZ",-0.0228308297237887
"X300014.SZ",-0.0126028019030122
"X300015.SZ",0.000855066319733311
"X300033.SZ",0.0167544825819688
"X600000.SH",-0.00852387958290013
"X600009.SH",0.0364493668857491
"X600010.SH",-0.0210534091978323
"X600011.SH",-0.00426439878645768
"X600015.SH",-0.00951884500920697
"X600016.SH",-0.00480770156810317
"X600019.SH",-0.0277963515030994
"X600028.SH",-0.00668898815079655
"X600030.SH",-0.00887415696103444
"X600031.SH",0.00640617181241154
"X600036.SH",-0.019914240667577
"X600039.SH",-0.0174296351352836
"X600048.SH",0.0383403668268922
"X600050.SH",0.00379987790977454
"X600085.SH",-0.00499376818048702
"X600089.SH",-0.00699653028983604
"X600104.SH",0.00102546582221708
"X600111.SH",-0.0335711006069697
"X600150.SH",-0.014047993413989
"X600176.SH",0
"X600183.SH",-0.0250775594975581
"X600219.SH",0.0149628726767124
"X600276.SH",0.0139741771965332
"X600309.SH",0.0258889250528496
"X600362.SH",-0.0373027120314218
"X600383.SH",0.0358820304670253
"X600406.SH",0
"X600426.SH",0.00354924951114111
"X600436.SH",0.00146225578970238
"X600438.SH",-0.0298529631496813
"X600460.SH",-0.0157709361929952
"X600519.SH",-0.00767920979378367
"X600547.SH",-0.0139696134151888
"X600585.SH",0.00214087001058383
"X600600.SH",-0.00594030197634732
"X600660.SH",0.0291641997126835
"X600674.SH",-0.00314300939719914
"X600690.SH",-0.00357015730870547
"X600732.SH",0
"X600745.SH",-0.000397377314984571
"X600754.SH",-0.0231109658809081
"X600763.SH",0.0323997993493932
"X600795.SH",-0.014104606181542
"X600803.SH",-0.0091389036762024
"X600809.SH",0.00195545961278976
"X600837.SH",-0.00864654538934184
"X600845.SH",-0.0150630463110959
"X600875.SH",-0.0211891852064205
"X600884.SH",-0.0189759014590059
"X600886.SH",-0.00406780221932568
"X600887.SH",-0.0227569871226163
"X600900.SH",0.00664454271866877
"X600999.SH",0.00915105521735748
"X601006.SH",-0.00897873596527621
"X601009.SH",-0.00735297430525872
"X601088.SH",-0.0336764097549129
"X601166.SH",-0.010274062976185
"X601186.SH",-0.010387628361578
"X601318.SH",-0.00888411246245724
"X601328.SH",-0.00306278953054573
"X601390.SH",-0.0135137191667227
"X601398.SH",-0.00339558900113834
"X601601.SH",-0.00386947471070265
"X601607.SH",0.00213903824874961
"X601618.SH",-0.0290929609416648
"X601628.SH",-0.00594511280683907
"X601668.SH",-0.0132182910858529
"X601699.SH",-0.0289366967400402
"X601766.SH",-0.00907721815111673
"X601808.SH",-0.0114488260662937
"X601857.SH",-0.00616144894404869
"X601872.SH",0
"X601888.SH",-0.0280731256902977
"X601898.SH",-0.0245035230559139
"X601899.SH",-0.0491326885776446
"X601919.SH",-0.0129703504426271
"X601939.SH",-0.00142551699122095
"X601988.SH",-0.00943403223335859
"X601998.SH",-0.00612559342668262
