"","V1"
"X000001.SZ",0.0174640613187553
"X000063.SZ",-0.0252797091177261
"X000069.SZ",-0.0119761910467155
"X000100.SZ",-0.0104712998672953
"X000157.SZ",0.00219539056343554
"X000338.SZ",-0.018476276167573
"X000408.SZ",0.00839635495290647
"X000425.SZ",0.00542006746933921
"X000538.SZ",-0.0392018222388666
"X000568.SZ",-0.024163473329966
"X000596.SZ",0.00256082086167364
"X000617.SZ",-0.00450016831461264
"X000625.SZ",0.00446097394062539
"X000651.SZ",-0.0150481635784425
"X000661.SZ",-0.0121712214170726
"X000725.SZ",-0.0138784031720773
"X000733.SZ",0.00258565108502262
"X000768.SZ",0.0178142362751275
"X000786.SZ",0.0031912495740638
"X000800.SZ",0.0180037596112519
"X000858.SZ",-0.00749278970238443
"X000876.SZ",-0.00521513567910814
"X000877.SZ",-0.00610555756248488
"X000895.SZ",-0.00578872817624454
"X000938.SZ",-0.0165676933515417
"X000963.SZ",-0.0176320118144182
"X000977.SZ",-0.00519751689802916
"X000983.SZ",-0.0129312146722484
"X002001.SZ",0.0134591533740047
"X002007.SZ",-0.0113344850741064
"X002027.SZ",-0.0194495596158579
"X002049.SZ",-0.00431856380561824
"X002050.SZ",0.023530497410194
"X002064.SZ",0.00402415029972558
"X002074.SZ",0.0213097865867509
"X002142.SZ",-0.00759127733122522
"X002179.SZ",-0.0122602815043042
"X002202.SZ",-0.00618771310816557
"X002230.SZ",-0.0171173838779826
"X002236.SZ",-0.0305747242780909
"X002241.SZ",-0.0362289382964587
"X002252.SZ",0.0113834438834379
"X002271.SZ",-0.0156865961676993
"X002304.SZ",-0.0253244870963689
"X002311.SZ",-0.0142496049794545
"X300014.SZ",0.0503754420973217
"X300015.SZ",-0.0413380803693379
"X300033.SZ",0.0330331191417272
"X600000.SH",0.00318471606752002
"X600009.SH",-0.00791991095285738
"X600010.SH",0.00373832211060721
"X600011.SH",0.0474162892651628
"X600015.SH",0.00442478598035567
"X600016.SH",0.00477327875265754
"X600019.SH",0
"X600028.SH",-0.0111911639612612
"X600030.SH",0.0331211863870768
"X600031.SH",0.0188329483330918
"X600036.SH",0.00221729580864727
"X600039.SH",0.00235571369245902
"X600048.SH",0.00382409643840331
"X600050.SH",-0.0138978863610086
"X600085.SH",0
"X600089.SH",0.0261010467163216
"X600104.SH",0.00031882672037975
"X600111.SH",0.00557492733091669
"X600150.SH",0
"X600176.SH",0.017488522034351
"X600183.SH",0.00185471459659459
"X600196.SH",-0.0123014200650142
"X600219.SH",0
"X600276.SH",-0.0256370418257879
"X600309.SH",-0.00585575269221961
"X600362.SH",-0.0132376033752286
"X600383.SH",0.000872219854685774
"X600406.SH",-0.00912207009657751
"X600426.SH",-0.00851727951887948
"X600436.SH",-0.0307806373020911
"X600438.SH",0.0608482604173894
"X600460.SH",-0.0572138569691729
"X600519.SH",0.0128594754392264
"X600547.SH",0.000662471041120938
"X600585.SH",0.011032420803577
"X600600.SH",-0.0175417869752086
"X600660.SH",-0.0223657352135169
"X600674.SH",-0.00787405643090588
"X600690.SH",0.00554940380866986
"X600732.SH",-0.00590669171539027
"X600745.SH",-0.00030197795790432
"X600754.SH",0.0019029501460861
"X600763.SH",0.013059887114609
"X600795.SH",0.0118695755553839
"X600803.SH",-0.0132627938784107
"X600809.SH",-0.00502093105009926
"X600837.SH",0.00961545869944214
"X600845.SH",0.0129566005696224
"X600875.SH",0.00180668522494898
"X600884.SH",0.0462346494312902
"X600886.SH",0.00788440352414854
"X600887.SH",-0.0149728300425909
"X600900.SH",-0.00121654516220415
"X600999.SH",0.0313272233144524
"X601006.SH",0.00225479238708903
"X601009.SH",0.00257069550310085
"X601088.SH",0.00439346569533861
"X601166.SH",0.00350672480920977
"X601186.SH",-0.0113914982860956
"X601318.SH",-0.0116942400545641
"X601328.SH",0.00160901080570053
"X601390.SH",-0.00221239028294073
"X601398.SH",-0.00495459312468349
"X601601.SH",-0.0302067575987985
"X601607.SH",-0.000819336383402369
"X601618.SH",-0.00769234562315568
"X601628.SH",-0.00799512253920209
"X601668.SH",0.00518404478758772
"X601699.SH",0.00768812133901342
"X601766.SH",-0.0212773984472849
"X601808.SH",-0.010819914129149
"X601857.SH",-0.0105325724998933
"X601872.SH",0.00203873668984822
"X601888.SH",0.0200867585667375
"X601898.SH",0.00170794234515625
"X601899.SH",-0.00268456537066886
"X601919.SH",0.00592594326754714
"X601939.SH",0.00142755199118549
"X601988.SH",0.0101782049157562
"X601998.SH",0.00323624877920836
