"","V1"
"X000001.SZ",-0.0105171872138676
"X000063.SZ",0
"X000069.SZ",-0.0114286958236227
"X000100.SZ",-0.0245411089161176
"X000157.SZ",-0.0072202479734873
"X000338.SZ",-0.0230452891178841
"X000408.SZ",-0.00305157392739819
"X000425.SZ",-0.0175223506922024
"X000538.SZ",0.00350188716759536
"X000568.SZ",-0.00313609236150914
"X000596.SZ",-0.0138721114778058
"X000617.SZ",-0.0198783303886874
"X000625.SZ",-0.0364015925354155
"X000651.SZ",0.00523835666158901
"X000661.SZ",-0.024894850737863
"X000708.SZ",-0.0285312023721502
"X000725.SZ",-0.035014517845102
"X000733.SZ",0.0272268127002135
"X000768.SZ",-0.0118833741465476
"X000786.SZ",-0.0202724216630172
"X000800.SZ",-0.0422525497354012
"X000858.SZ",-0.0105715270240019
"X000876.SZ",0
"X000877.SZ",-0.0314906670913713
"X000895.SZ",0.000773096288988473
"X000938.SZ",-0.00507978949707777
"X000963.SZ",-0.00589537448067734
"X000977.SZ",-0.0375631015756483
"X000983.SZ",-0.0286477924332993
"X002001.SZ",-0.0393300419354068
"X002007.SZ",-0.0139121157377242
"X002027.SZ",-0.0447836026269735
"X002049.SZ",0.0670294397603484
"X002050.SZ",-0.0409653534195047
"X002064.SZ",-0.0168071183163814
"X002129.SZ",0
"X002142.SZ",-0.00446180327483958
"X002179.SZ",-0.00778948822357606
"X002202.SZ",-0.0196845007825464
"X002230.SZ",-0.0286059691339906
"X002236.SZ",-0.00829880281469508
"X002241.SZ",-0.0544570088409877
"X002252.SZ",0
"X002271.SZ",-0.0308040677996502
"X002304.SZ",0.0209318360410355
"X002311.SZ",-0.00576845439674045
"X300014.SZ",-0.00948436273700981
"X300015.SZ",0.0153758203621095
"X300033.SZ",-0.0186611262216627
"X600000.SH",-0.0162327357618191
"X600009.SH",0.00707185267686672
"X600010.SH",-0.0232028970796641
"X600011.SH",-0.0195128142235819
"X600015.SH",-0.0148829306917104
"X600016.SH",-0.0178121757640999
"X600019.SH",-0.00329489589685261
"X600028.SH",-0.010196738020515
"X600030.SH",-0.0391575904743338
"X600031.SH",0.00120554565534903
"X600036.SH",-0.00106288761113627
"X600039.SH",-0.00270636159774318
"X600048.SH",-0.00298062813813793
"X600050.SH",-0.0272390381621836
"X600085.SH",0
"X600089.SH",-0.0326312939704074
"X600104.SH",-0.00187969980157732
"X600111.SH",-0.0386558169750937
"X600150.SH",-0.00815380172693247
"X600176.SH",-0.0387979695409824
"X600183.SH",-0.0772218313318951
"X600196.SH",0
"X600219.SH",-0.0484943499386103
"X600276.SH",0.0119718896661878
"X600309.SH",0
"X600346.SH",0.00135869586119286
"X600362.SH",-0.0103807160545606
"X600383.SH",-0.0115096445426532
"X600406.SH",-0.000590841966966682
"X600426.SH",-0.0315560163740622
"X600436.SH",0.00210305019677826
"X600438.SH",-0.00341588718140695
"X600460.SH",0.00306654640797932
"X600519.SH",-0.0143682760997574
"X600547.SH",-0.0171331166892763
"X600585.SH",-0.011954165342718
"X600600.SH",-0.0276319386620862
"X600660.SH",-0.00350570034762843
"X600674.SH",-0.00228310601456849
"X600690.SH",-0.000585308767075521
"X600732.SH",-0.0509091960536558
"X600745.SH",0
"X600754.SH",-0.0099804245951769
"X600763.SH",-0.0250726799036411
"X600803.SH",0.00170940212564874
"X600809.SH",-0.00611849503084905
"X600837.SH",-0.0310721845893762
"X600845.SH",-0.0463680838215983
"X600875.SH",-0.0135748690910691
"X600884.SH",-0.0228104465827728
"X600886.SH",-0.0193602472845413
"X600887.SH",-0.0398150175237073
"X600900.SH",0.00625002034517141
"X600999.SH",-0.0325526030377485
"X601006.SH",-0.00752826642079141
"X601009.SH",-0.0188803594491112
"X601088.SH",-0.00340053764657
"X601166.SH",-0.00185471459659459
"X601186.SH",-0.0297610471608301
"X601318.SH",-0.00513100713672809
"X601328.SH",-0.00492207720542837
"X601390.SH",-0.0176755111587221
"X601398.SH",0
"X601601.SH",-0.0318890477849916
"X601607.SH",-0.0153343640001067
"X601618.SH",-0.0376388514999348
"X601628.SH",-0.0139518061201245
"X601668.SH",-0.00122025640522949
"X601699.SH",-0.0162916875981858
"X601766.SH",-0.0115729855576587
"X601808.SH",-0.0337548272971628
"X601857.SH",-0.0142952401868266
"X601872.SH",0.0241622492790796
"X601888.SH",-0.00205166536576584
"X601898.SH",-0.018090945649039
"X601899.SH",-0.014151179546243
"X601919.SH",0.00181983671698593
"X601939.SH",-0.00541273310675039
"X601988.SH",-0.00264200946283877
"X601998.SH",-0.00312989300892785
