"","V1"
"X000001.SZ",-0.00383877630716567
"X000063.SZ",0.0309143629124473
"X000069.SZ",-0.00557104504945527
"X000157.SZ",-0.0142070266443493
"X000338.SZ",0.0249923754273147
"X000408.SZ",0.00260078170005729
"X000425.SZ",-0.00400000533334599
"X000538.SZ",-0.00553691701419012
"X000568.SZ",-0.00495725392421953
"X000596.SZ",-0.0250593929493999
"X000617.SZ",-0.00353669687834479
"X000625.SZ",0.0142001293791152
"X000651.SZ",0.00130208351729877
"X000661.SZ",-0.0146723164982001
"X000708.SZ",0.016760168857465
"X000725.SZ",0.00249688019858718
"X000733.SZ",0.0178082692073742
"X000768.SZ",-0.00876100722632955
"X000786.SZ",-0.0263173083173731
"X000800.SZ",-0.0320027310861741
"X000858.SZ",-0.00810604594454745
"X000876.SZ",-0.00407955690728556
"X000877.SZ",-0.0168701283034851
"X000895.SZ",-0.00277681539065178
"X000938.SZ",0.0239028380507231
"X000963.SZ",-0.0145473140687242
"X000977.SZ",-0.0114395909093945
"X000983.SZ",-0.0104530568520893
"X002001.SZ",0.0264411549953447
"X002007.SZ",-0.00299850299625648
"X002027.SZ",-0.0125787822068602
"X002049.SZ",0.0152179055287549
"X002050.SZ",0.00547196987799303
"X002064.SZ",-0.0100167782434712
"X002074.SZ",0.000817995955631812
"X002142.SZ",-0.00768530772619203
"X002179.SZ",-0.00514139950041859
"X002202.SZ",0.00257842858794444
"X002230.SZ",-0.0132656580548667
"X002236.SZ",-0.0143804606424789
"X002241.SZ",-0.019217147185778
"X002252.SZ",0.00279720462106137
"X002271.SZ",-0.000427624552165273
"X002304.SZ",-0.0106099110784132
"X002311.SZ",-0.0142520227072014
"X300014.SZ",0.0177481945863724
"X300015.SZ",-0.0067390745498459
"X300033.SZ",-0.0107533321008182
"X600000.SH",-0.00670019256981957
"X600009.SH",-0.00268113789720648
"X600010.SH",-0.0155041865359652
"X600011.SH",-0.0122486220761993
"X600015.SH",-0.00268456537066886
"X600016.SH",-0.00161420535454115
"X600019.SH",-0.0178257839526006
"X600028.SH",-0.00201816415623712
"X600030.SH",-0.00135043909787136
"X600031.SH",-0.0290424452220805
"X600036.SH",0
"X600039.SH",-0.00312012733624356
"X600048.SH",-0.0148725664093963
"X600050.SH",-0.00881062968215485
"X600085.SH",-0.00585139176846416
"X600089.SH",-0.00774597211465533
"X600104.SH",0.00426076486085503
"X600111.SH",0.0166916000932531
"X600150.SH",0.0299367538405844
"X600176.SH",0.0162936394861006
"X600183.SH",0.000823384155205442
"X600196.SH",-0.0055843782939009
"X600219.SH",-0.00925932541279673
"X600276.SH",0.0011757790890119
"X600309.SH",0.0183846494013191
"X600346.SH",0.0146395085746112
"X600362.SH",-0.000658111244549175
"X600383.SH",-0.0139537147738653
"X600406.SH",-0.0200544749877771
"X600426.SH",0.00113058237028607
"X600436.SH",-0.00936634986106544
"X600438.SH",-0.0130520087028541
"X600460.SH",0.00937213982886309
"X600519.SH",-0.019147093184932
"X600547.SH",0.00478851673179692
"X600585.SH",-0.0240777142451978
"X600600.SH",0.023466074797835
"X600660.SH",-0.00620294412460787
"X600674.SH",-0.00101884878910274
"X600690.SH",-0.00696462478581505
"X600732.SH",-0.044511730787697
"X600745.SH",-0.00407727969951655
"X600754.SH",-0.00720003110424194
"X600763.SH",-0.011510500930739
"X600795.SH",-0.0176995770994008
"X600803.SH",-0.00976570261132492
"X600809.SH",-0.00229621226035004
"X600837.SH",0.00492438561067798
"X600845.SH",-0.0150858677664694
"X600875.SH",0
"X600884.SH",-0.0102041701742417
"X600886.SH",-0.00458716400690617
"X600887.SH",0.00165316618903377
"X600900.SH",0.0225098716392962
"X600999.SH",-0.00943959811672013
"X601006.SH",0.00383877630716567
"X601009.SH",-0.00830865313901707
"X601088.SH",-0.0069686693160933
"X601166.SH",-0.00363353631015118
"X601186.SH",-0.00719797452232651
"X601318.SH",0
"X601328.SH",-0.00181983671698593
"X601390.SH",-0.00174978172378748
"X601398.SH",-0.0017406444777841
"X601601.SH",0.0143401866922708
"X601607.SH",-0.00684934184557484
"X601618.SH",-0.00740744127786186
"X601628.SH",-0.0050303405378842
"X601668.SH",-0.00192123017789392
"X601699.SH",-0.020379162336652
"X601766.SH",-0.00145032657764665
"X601808.SH",0.00988092898160309
"X601857.SH",-0.00354610300675073
"X601872.SH",0.00434468460401116
"X601888.SH",0.00225479238708903
"X601898.SH",0.00208986491945917
"X601899.SH",-0.00507615303186082
"X601919.SH",-0.0121705356202551
"X601939.SH",0.0014074597678797
"X601988.SH",0
"X601998.SH",0.00167084416481766
